smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID
BRD-K03736784	BRD-K03736784-001-01-1	LSM-43121	LSM-4818
BRD-K34222889	BRD-K34222889-001-01-9	LSM-43122	LSM-4819
BRD-K74797618	BRD-K74797618-001-01-9	LSM-43123	LSM-4820
BRD-K83336168	BRD-K83336168-001-01-9	LSM-43124	LSM-4821
BRD-K17119186	BRD-K17119186-001-01-8	LSM-43125	LSM-4823
BRD-K25504083	BRD-K25504083-001-03-1	LSM-43126	LSM-4824
BRD-K34332553	BRD-K34332553-001-05-2	LSM-43127	LSM-4825
BRD-K84874839	BRD-K84874839-001-06-6	LSM-43128	LSM-4857
BRD-K11987803	BRD-K11987803-001-01-7	LSM-43129	LSM-4867
BRD-K33392208	BRD-K33392208-001-01-5	LSM-43130	LSM-4874
BRD-K42541148	BRD-K42541148-001-01-9	LSM-43131	LSM-4877
BRD-K70524666	BRD-K70524666-001-01-2	LSM-43132	LSM-4883
BRD-K73238422	BRD-K73238422-001-01-1	LSM-43133	LSM-4885
BRD-K89626439	BRD-K89626439-001-01-0	LSM-43134	LSM-4886
BRD-K84937637	BRD-K84937637-001-03-2	LSM-42782	LSM-4886
BRD-K91671201	BRD-K91671201-001-01-8	LSM-43135	LSM-4887
BRD-A79465854	BRD-A79465854-001-01-3	LSM-43136	LSM-4921
BRD-A81282034	BRD-A81282034-001-02-9	LSM-43137	LSM-4922
BRD-K56653679	BRD-K56653679-001-01-2	LSM-43138	LSM-4925
BRD-K10882151	BRD-K10882151-001-06-8	LSM-43139	LSM-4936
BRD-K52904470	BRD-K52904470-001-02-2	LSM-43140	LSM-4939
BRD-A11007541	BRD-A11007541-003-01-9	LSM-43141	LSM-4964
BRD-A20697603	BRD-A20697603-001-05-6	LSM-43142	LSM-4991
BRD-A20697603	BRD-A20697603-001-06-4	LSM-43142	LSM-4991
BRD-A26002865	BRD-A26002865-001-01-5	LSM-43143	LSM-5016
BRD-A31312900	BRD-A31312900-001-01-8	LSM-43144	LSM-5022
BRD-A35782587	BRD-A35782587-001-01-8	LSM-43146	LSM-5035
BRD-A45664787	BRD-A45664787-001-01-4	LSM-43147	LSM-5057
BRD-A52282606	BRD-A52282606-001-05-5	LSM-43148	LSM-5074
BRD-A54635441	BRD-A54635441-078-06-7	LSM-43149	LSM-5079
BRD-A55815733	BRD-A55815733-001-05-5	LSM-43150	LSM-5083
BRD-A59808129	BRD-A59808129-001-01-7	LSM-43151	LSM-5093
BRD-A67981824	BRD-A67981824-236-01-2	LSM-43153	LSM-5124
BRD-A72441487	BRD-A72441487-001-04-0	LSM-43154	LSM-5136
BRD-A83892713	BRD-A83892713-001-01-3	LSM-43155	LSM-5167
BRD-A84282119	BRD-A84282119-003-01-2	LSM-5143	LSM-5170
BRD-A84327315	BRD-A84327315-001-01-1	LSM-43157	LSM-5171
BRD-A87387433	BRD-A87387433-001-02-7	LSM-43158	LSM-5175
BRD-A87848830	BRD-A87848830-001-01-9	LSM-43159	LSM-5177
BRD-A94810754	BRD-A94810754-001-03-8	LSM-43160	LSM-5186
BRD-A96799240	BRD-A96799240-001-02-5	LSM-43161	LSM-5191
BRD-A96799240	BRD-A96799240-001-01-7	LSM-43161	LSM-5191
BRD-K01507359	BRD-K01507359-001-05-4	LSM-43162	LSM-5207
BRD-K01507359	BRD-K01507359-001-10-4	LSM-43162	LSM-5207
BRD-K01507359	BRD-K01507359-001-11-2	LSM-43162	LSM-5207
BRD-K52735702	BRD-K52735702-001-01-2	LSM-43164	LSM-5216
BRD-K05350981	BRD-K05350981-001-01-0	LSM-43165	LSM-5230
BRD-K07888107	BRD-K07888107-001-01-6	LSM-43166	LSM-5254
BRD-K09436313	BRD-K09436313-001-01-2	LSM-43167	LSM-5269
BRD-K09900591	BRD-K09900591-001-18-4	LSM-43168	LSM-5272
BRD-K10573841	BRD-K10573841-001-01-0	LSM-43169	LSM-5276
BRD-K10961822	BRD-K10961822-001-03-6	LSM-43170	LSM-5285
BRD-K13514097	BRD-K13514097-001-01-2	LSM-43172	LSM-5313
BRD-K22429181	BRD-K22429181-001-12-6	LSM-43173	LSM-5317
BRD-K22429181	BRD-K22429181-001-08-4	LSM-43173	LSM-5317
BRD-K13927029	BRD-K13927029-001-01-9	LSM-43174	LSM-5317
BRD-K13927029	BRD-K13927029-001-02-7	LSM-43174	LSM-5317
BRD-K14550461	BRD-K14550461-001-01-3	LSM-43175	LSM-5325
BRD-K15262564	BRD-K15262564-001-12-7	LSM-43176	LSM-5334
BRD-K15402119	BRD-K15402119-001-01-2	LSM-43177	LSM-5335
BRD-K15600710	BRD-K15600710-066-01-7	LSM-43178	LSM-5338
BRD-K50590187	BRD-K50590187-001-17-3	LSM-43180	LSM-5343
BRD-K50590187	BRD-K50590187-001-10-8	LSM-43180	LSM-5343
BRD-K16336526	BRD-K16336526-001-04-2	LSM-43179	LSM-5343
BRD-K17743125	BRD-K17743125-001-03-5	LSM-43181	LSM-5351
BRD-K17823458	BRD-K17823458-001-01-6	LSM-43182	LSM-5352
BRD-K23369905	BRD-K23369905-008-01-6	LSM-43183	LSM-5389
BRD-K24656285	BRD-K24656285-001-04-4	LSM-43184	LSM-5398
BRD-K24656285	BRD-K24656285-001-03-6	LSM-43184	LSM-5398
BRD-K26674531	BRD-K26674531-001-01-3	LSM-43187	LSM-5409
BRD-K55889443	BRD-K55889443-001-01-8	LSM-43188	LSM-5420
BRD-K28346421	BRD-K28346421-001-01-9	LSM-43189	LSM-5420
BRD-K29733039	BRD-K29733039-001-01-1	LSM-43190	LSM-5437
BRD-K29905972	BRD-K29905972-001-03-0	LSM-43191	LSM-5438
BRD-K30097969	BRD-K30097969-001-04-6	LSM-43192	LSM-5439
BRD-K31484631	BRD-K31484631-001-05-0	LSM-43193	LSM-5442
BRD-K30563334	BRD-K30563334-001-01-1	LSM-43194	LSM-5442
BRD-K30707190	BRD-K30707190-001-03-3	LSM-43195	LSM-5449
BRD-K30707190	BRD-K30707190-001-02-5	LSM-43195	LSM-5449
BRD-K32536677	BRD-K32536677-001-01-0	LSM-43196	LSM-5463
BRD-K32536677	BRD-K32536677-001-03-6	LSM-43196	LSM-5463
BRD-K32536677	BRD-K32536677-001-02-8	LSM-43196	LSM-5463
BRD-K33551950	BRD-K33551950-001-01-6	LSM-43197	LSM-5476
BRD-K35687265	BRD-K35687265-236-01-8	LSM-43198	LSM-5488
BRD-K67637637	BRD-K67637637-003-07-6	LSM-43199	LSM-5498
BRD-K38756014	BRD-K38756014-001-04-4	LSM-43200	LSM-5511
BRD-K38756014	BRD-K38756014-001-03-6	LSM-43200	LSM-5511
BRD-K43236057	BRD-K43236057-001-04-8	LSM-43202	LSM-5542
BRD-K45888792	BRD-K45888792-001-01-0	LSM-43204	LSM-5567
BRD-K45995181	BRD-K45995181-001-01-2	LSM-43205	LSM-5568
BRD-K47878171	BRD-K47878171-086-04-5	LSM-43206	LSM-5589
BRD-K47943470	BRD-K47943470-001-07-7	LSM-43207	LSM-5591
BRD-K48935217	BRD-K48935217-001-01-3	LSM-43208	LSM-5600
BRD-K52075040	BRD-K52075040-001-03-0	LSM-43210	LSM-5629
BRD-K52075040	BRD-K52075040-001-06-3	LSM-43210	LSM-5629
BRD-K96134740	BRD-K96134740-001-01-0	LSM-43211	LSM-5634
BRD-K55070890	BRD-K55070890-001-02-1	LSM-43212	LSM-5655
BRD-K55420858	BRD-K55420858-001-01-0	LSM-43213	LSM-5660
BRD-K91696562	BRD-K91696562-001-01-8	LSM-43214	LSM-5664
BRD-K55966568	BRD-K55966568-001-01-3	LSM-43215	LSM-5664
BRD-K58550667	BRD-K58550667-001-04-6	LSM-43216	LSM-5684
BRD-K58550667	BRD-K58550667-001-01-2	LSM-43216	LSM-5684
BRD-K58550667	BRD-K58550667-001-05-3	LSM-43216	LSM-5684
BRD-K62012036	BRD-K62012036-001-10-2	LSM-43217	LSM-5713
BRD-K62012036	BRD-K62012036-001-06-0	LSM-43217	LSM-5713
BRD-K62959606	BRD-K62959606-001-10-4	LSM-43218	LSM-5718
BRD-K63641886	BRD-K63641886-001-01-7	LSM-43221	LSM-5725
BRD-K63915849	BRD-K63915849-001-01-1	LSM-43222	LSM-5728
BRD-K64935403	BRD-K64935403-001-01-6	LSM-43223	LSM-5734
BRD-K65261396	BRD-K65261396-002-01-3	LSM-43224	LSM-5735
BRD-K65331431	BRD-K65331431-001-05-4	LSM-43225	LSM-5736
BRD-K65331431	BRD-K65331431-001-04-7	LSM-43225	LSM-5736
BRD-K66175015	BRD-K66175015-001-01-7	LSM-43226	LSM-5742
BRD-K68132782	BRD-K68132782-003-10-4	LSM-43227	LSM-5759
BRD-K68132782	BRD-K68132782-001-01-7	LSM-43227	LSM-5759
BRD-K69470111	BRD-K69470111-236-07-1	LSM-43228	LSM-5768
BRD-K71823332	BRD-K71823332-001-01-1	LSM-43229	LSM-5798
BRD-K74133369	BRD-K74133369-001-01-8	LSM-43230	LSM-5820
BRD-K74733595	BRD-K74733595-001-02-9	LSM-43231	LSM-5823
BRD-K75181824	BRD-K75181824-001-03-1	LSM-43232	LSM-5828
BRD-K75181824	BRD-K75181824-001-04-9	LSM-43232	LSM-5828
BRD-K77175907	BRD-K77175907-001-04-9	LSM-43234	LSM-5841
BRD-K77175907	BRD-K77175907-001-03-1	LSM-43234	LSM-5841
BRD-K77390737	BRD-K77390737-001-03-2	LSM-43235	LSM-5844
BRD-K79437791	BRD-K79437791-001-03-2	LSM-43236	LSM-5856
BRD-K79437791	BRD-K79437791-001-04-0	LSM-43236	LSM-5856
BRD-K81169441	BRD-K81169441-236-06-6	LSM-43237	LSM-5869
BRD-K81473043	BRD-K81473043-001-07-0	LSM-43238	LSM-5870
BRD-K81473043	BRD-K81473043-001-04-7	LSM-43238	LSM-5870
BRD-K83636919	BRD-K83636919-001-01-4	LSM-43240	LSM-5898
BRD-K83988098	BRD-K83988098-003-01-8	LSM-43241	LSM-5901
BRD-K85518562	BRD-K85518562-236-06-3	LSM-43242	LSM-5913
BRD-K86465814	BRD-K86465814-001-04-5	LSM-43243	LSM-5921
BRD-K86465814	BRD-K86465814-001-03-7	LSM-43243	LSM-5921
BRD-K89708791	BRD-K89708791-001-01-8	LSM-43244	LSM-5951
BRD-K92870997	BRD-K92870997-001-14-6	LSM-43245	LSM-5973
BRD-K92870997	BRD-K92870997-001-13-8	LSM-43245	LSM-5973
BRD-K93433262	BRD-K93433262-001-01-7	LSM-43246	LSM-5978
BRD-K95402279	BRD-K95402279-001-01-1	LSM-43247	LSM-5994
BRD-K95402279	BRD-K95402279-001-03-7	LSM-43247	LSM-5994
BRD-K99369265	BRD-K99369265-001-01-4	LSM-43249	LSM-6025
BRD-K99498722	BRD-K99498722-001-01-8	LSM-43250	LSM-6028
BRD-K99984802	BRD-K99984802-098-04-0	LSM-43251	LSM-6033
BRD-M02190957	BRD-M02190957-065-04-0	LSM-4318	LSM-6034
BRD-M08470251	BRD-M08470251-096-02-2	LSM-43252	LSM-6035
BRD-M09350392	BRD-M09350392-065-04-6	LSM-43253	LSM-6036
BRD-M15413738	BRD-M15413738-326-04-3	LSM-43254	LSM-6038
BRD-M16762496	BRD-M16762496-001-01-9	LSM-43255	LSM-6039
BRD-K49371609	BRD-K49371609-310-01-1	LSM-43255	LSM-6039
BRD-M18219129	BRD-M18219129-065-03-4	LSM-6719	LSM-6040
BRD-M30251550	BRD-M30251550-065-04-7	LSM-43256	LSM-6042
BRD-M34926192	BRD-M34926192-065-04-4	LSM-43257	LSM-6043
BRD-M35773784	BRD-M35773784-330-01-7	LSM-43258	LSM-6044
BRD-M37402942	BRD-M37402942-211-01-2	LSM-43259	LSM-6045
BRD-M39942365	BRD-M39942365-103-01-2	LSM-43260	LSM-6046
BRD-M41106164	BRD-M41106164-001-01-9	LSM-43261	LSM-6048
BRD-M45038741	BRD-M45038741-046-03-3	LSM-1259	LSM-6049
BRD-M45580279	BRD-M45580279-077-04-7	LSM-43262	LSM-6050
BRD-M47937986	BRD-M47937986-001-02-5	LSM-43263	LSM-6052
BRD-M53001068	BRD-M53001068-230-04-3	LSM-6010	LSM-6053
BRD-M56587789	BRD-M56587789-103-01-1	LSM-43264	LSM-6054
BRD-M58473998	BRD-M58473998-045-02-0	LSM-1599	LSM-6055
BRD-M59543297	BRD-M59543297-001-04-6	LSM-43265	LSM-6056
BRD-M61246020	BRD-M61246020-327-02-9	LSM-6498	LSM-6057
BRD-M61872305	BRD-M61872305-065-04-0	LSM-2396	LSM-6058
BRD-M72681210	BRD-M72681210-065-04-6	LSM-2558	LSM-6060
BRD-M73371355	BRD-M73371355-312-01-0	LSM-43266	LSM-6061
BRD-M79902621	BRD-M79902621-065-04-2	LSM-5065	LSM-6062
BRD-M90449146	BRD-M90449146-001-01-6	LSM-43267	LSM-6063
BRD-M94527406	BRD-M94527406-103-01-4	LSM-3571	LSM-6064
BRD-K36267058	BRD-K36267058-001-04-1	LSM-43268	LSM-6176
BRD-A23770159	BRD-A23770159-001-02-3	LSM-43269	LSM-6188
BRD-A75517195	BRD-A75517195-001-01-3	LSM-43270	LSM-6194
BRD-A76279427	BRD-A76279427-001-01-9	LSM-43271	LSM-6196
BRD-A81541225	BRD-A81541225-001-02-7	LSM-43272	LSM-6197
BRD-K02822062	BRD-K02822062-001-01-3	LSM-43273	LSM-6206
BRD-K04623885	BRD-K04623885-001-03-4	LSM-43274	LSM-6209
BRD-K07303502	BRD-K07303502-001-02-5	LSM-43275	LSM-6213
BRD-K08845546	BRD-K08845546-001-02-2	LSM-43276	LSM-6216
BRD-K09907482	BRD-K09907482-001-02-5	LSM-43277	LSM-6217
BRD-K26664453	BRD-K26664453-001-03-4	LSM-43278	LSM-6235
BRD-K33272502	BRD-K33272502-001-01-2	LSM-43279	LSM-6241
BRD-K61829047	BRD-K61829047-001-01-6	LSM-43280	LSM-6257
BRD-K68548958	BRD-K68548958-001-01-2	LSM-43281	LSM-6264
BRD-K74761218	BRD-K74761218-001-03-5	LSM-43283	LSM-6269
BRD-K80527266	BRD-K80527266-001-01-7	LSM-43284	LSM-6275
BRD-K92301463	BRD-K92301463-001-03-0	LSM-43285	LSM-6287
BRD-K93095519	BRD-K93095519-001-01-5	LSM-43286	LSM-6289
HMSL10270	HMSL10270-101-1	LSM-43060	LSM-4290
HMSL10175	HMSL10175-106-3	LSM-42800	LSM-1176
HMSL10052	HMSL10052-101-3	LSM-42782	LSM-1052
HMSL10054	HMSL10054-101-1	LSM-42784	LSM-1054
HMSL10078	HMSL10078-101-1	LSM-43209	LSM-5601
HMSL10010	HMSL10010-101-1	LSM-42777	LSM-1010
HMSL10010	HMSL10010-101-2	LSM-42777	LSM-1010
HMSL10017	HMSL10017-101-1	LSM-43248	LSM-6015
HMSL10017	HMSL10017-101-2	LSM-43248	LSM-6015
HMSL10018	HMSL10018-101-1	LSM-42778	LSM-1018
HMSL10018	HMSL10018-101-2	LSM-42778	LSM-1018
HMSL10031	HMSL10031-101-1	LSM-42780	LSM-1031
HMSL10275	HMSL10275-101-1	LSM-43294	LSM-6361
HMSL10279	HMSL10279-101-1	LSM-43005	LSM-3524
HMSL10356	HMSL10356-101-1	LSM-43344	LSM-6712
HMSL10293	HMSL10293-101-1	LSM-43008	LSM-3545
HMSL10296	HMSL10296-101-1	LSM-43289	LSM-6313
HMSL10306	HMSL10306-101-1	LSM-43281	LSM-6264
HMSL10310	HMSL10310-101-1	LSM-43181	LSM-5351
HMSL10313	HMSL10313-101-1	LSM-43290	LSM-6322
HMSL10314	HMSL10314-101-1	LSM-43291	LSM-6323
HMSL10317	HMSL10317-101-1	LSM-43196	LSM-5463
HMSL10318	HMSL10318-101-1	LSM-42917	LSM-2557
HMSL10325	HMSL10325-101-1	LSM-43292	LSM-6330
BRD-K69181860	BRD-K69181860-001-02-6	LSM-43332	LSM-6645
BRD-K66763349	BRD-K66763349-001-01-7	LSM-43331	LSM-6638
BRD-K55991774	BRD-K55991774-001-01-1	LSM-43330	LSM-6620
BRD-K55000304	BRD-K55000304-001-07-7	LSM-43329	LSM-6618
BRD-K52678950	BRD-K52678950-001-01-3	LSM-43328	LSM-6613
BRD-K51320264	BRD-K51320264-001-05-5	LSM-43327	LSM-6611
BRD-K50289629	BRD-K50289629-001-03-8	LSM-43326	LSM-6609
BRD-K49807497	BRD-K49807497-001-02-2	LSM-43325	LSM-6607
BRD-K47114202	BRD-K47114202-001-06-2	LSM-43324	LSM-6603
BRD-K44524854	BRD-K44524854-001-01-7	LSM-43323	LSM-6597
BRD-K34311178	BRD-K34311178-001-01-0	LSM-43322	LSM-6582
BRD-K27885958	BRD-K27885958-086-01-9	LSM-43320	LSM-6575
BRD-K21508676	BRD-K21508676-001-01-3	LSM-43319	LSM-6564
BRD-K13665559	BRD-K13665559-001-01-3	LSM-43318	LSM-6548
BRD-K03070961	BRD-K03070961-001-02-8	LSM-43316	LSM-6527
BRD-A90796352	BRD-A90796352-001-01-3	LSM-43314	LSM-6512
BRD-A87199639	BRD-A87199639-001-01-0	LSM-43313	LSM-6508
BRD-A82932926	BRD-A82932926-001-01-1	LSM-43312	LSM-6500
BRD-A78080706	BRD-A78080706-001-01-1	LSM-43311	LSM-6496
BRD-A73933229	BRD-A73933229-001-01-4	LSM-43310	LSM-6493
BRD-A71697640	BRD-A71697640-001-01-8	LSM-43309	LSM-6490
BRD-A67711610	BRD-A67711610-001-02-7	LSM-43307	LSM-6482
BRD-A64243931	BRD-A64243931-001-01-8	LSM-43306	LSM-6477
BRD-A52934756	BRD-A52934756-001-01-8	LSM-43305	LSM-6456
BRD-A42129474	BRD-A42129474-001-03-5	LSM-43304	LSM-6439
BRD-A39996500	BRD-A39996500-001-01-4	LSM-43303	LSM-6437
BRD-A39907652	BRD-A39907652-001-01-7	LSM-43302	LSM-6436
BRD-A36936672	BRD-A36936672-236-01-7	LSM-43301	LSM-6433
BRD-A26658572	BRD-A26658572-001-02-6	LSM-43300	LSM-6419
BRD-A25579302	BRD-A25579302-001-02-2	LSM-43299	LSM-6417
BRD-A11112921	BRD-A11112921-001-01-1	LSM-43298	LSM-6390
BRD-A06304526	BRD-A06304526-001-01-0	LSM-43297	LSM-6382
BRD-A01314135	BRD-A01314135-001-01-7	LSM-43296	LSM-6369
BRD-A00398769	BRD-A00398769-001-02-2	LSM-43295	LSM-6365
BRD-A05893017	BRD-A05893017-001-01-9	LSM-43156	LSM-5167
BRD-A67514145	BRD-A67514145-003-04-1	LSM-43145	LSM-5034
BRD-K14716343	BRD-K14716343-001-03-0	LSM-43114	LSM-4788
BRD-A61304759	BRD-A61304759-001-02-8	LSM-43056	LSM-4259
BRD-K17628612	BRD-K17628612-001-03-8	LSM-43019	LSM-3682
BRD-K53517854	BRD-K53517854-050-03-2	LSM-43015	LSM-3625
BRD-K91047982	BRD-K91047982-001-01-6	LSM-42992	LSM-3363
BRD-K18739469	BRD-K18739469-001-02-8	LSM-42982	LSM-3181
BRD-K67470788	BRD-K67470788-001-02-4	LSM-42952	LSM-2842
BRD-K73819439	BRD-K73819439-001-01-9	LSM-42971	LSM-3096
BRD-K02558072	BRD-K02558072-001-03-7	LSM-42915	LSM-2542
BRD-K14842454	BRD-K14842454-001-01-3	LSM-42861	LSM-2152
BRD-K64970062	BRD-K64970062-001-05-6	LSM-42897	LSM-2387
BRD-K85660637	BRD-K85660637-001-04-7	LSM-42912	LSM-2516
HMSL10017	HMSL10017-101-1	LSM-43248	LSM-6015
HMSL10017	HMSL10017-101-2	LSM-43248	LSM-6015
HMSL10078	HMSL10078-101-1	LSM-43209	LSM-5601
HMSL10091	HMSL10091-101-1	LSM-43287	LSM-6299
HMSL10095	HMSL10095-101-1	LSM-43288	LSM-6300
BRD-K71554540	BRD-K71554540-001-04-4	LSM-43333	LSM-6651
BRD-K80346834	BRD-K80346834-001-01-5	LSM-43334	LSM-6668
BRD-K83643280	BRD-K83643280-001-01-1	LSM-43335	LSM-6677
BRD-K86472598	BRD-K86472598-001-01-9	LSM-43336	LSM-6681
BRD-K98824517	BRD-K98824517-001-09-8	LSM-43337	LSM-6696
BRD-M21493215	BRD-M21493215-051-03-5	LSM-1886	LSM-6698
BRD-M23230978	BRD-M23230978-001-01-5	LSM-43338	LSM-6699
BRD-M23617377	BRD-M23617377-211-01-5	LSM-43339	LSM-6700
BRD-M42309903	BRD-M42309903-065-01-9	LSM-43340	LSM-6701
BRD-M50166410	BRD-M50166410-326-01-4	LSM-43341	LSM-6702
BRD-M63173034	BRD-M63173034-001-01-0	LSM-43342	LSM-6703
BRD-M99772999	BRD-M99772999-326-02-9	LSM-43343	LSM-6706
HMSL10279	HMSL10279-101-1	LSM-43005	LSM-3524
CGC00003462	CGC00003462-001	LSM-42789	LSM-1108
CGC00003253	CGC00003253-002	LSM-42864	LSM-2158
CGC00003453	CGC00003453-001	LSM-42896	LSM-2378
CGC00003473	CGC00003473-001	LSM-42914	LSM-2527
CGC00001597	CGC00001597-004	LSM-42917	LSM-2557
CGC00003164	CGC00003164-002	LSM-42924	LSM-2608
CGC00003459	CGC00003459-001	LSM-42947	LSM-2803
CGC00000543	CGC00000543-004	LSM-42959	LSM-2966
CGC00000993	CGC00000993-003	LSM-42962	LSM-3031
CGC00003458	CGC00003458-001	LSM-42984	LSM-3221
CGC00003477	CGC00003477-001	LSM-43005	LSM-3524
CGC00002584	CGC00002584-002	LSM-43006	LSM-3525
CGC00002164	CGC00002164-004	LSM-43026	LSM-3779
CGC00002308	CGC00002308-002	LSM-43193	LSM-5442
CGC00003448	CGC00003448-001	LSM-43285	LSM-6287
CGC00000425	CGC00000425-003	LSM-43317	LSM-6543
CGC00003464	CGC00003464-001	LSM-43329	LSM-6618
CGC00003466	CGC00003466-001	LSM-43345	LSM-6727
CGC00003457	CGC00003457-001	LSM-43346	LSM-6728
CGC00003471	CGC00003471-001	LSM-43347	LSM-6729
CGC00000062	CGC00000062-002	LSM-43348	LSM-6730
CGC00003454	CGC00003454-001	LSM-43349	LSM-6731
CGC00001981	CGC00001981-003	LSM-43350	LSM-6739
BRD-K29799191	BRD-K29799191-001-01-6	LSM-43351	LSM-6789
BRD-K65997856	BRD-K65997856-001-01-7	LSM-43352	LSM-6844
BRD-K01060955	BRD-K01060955-001-01-1	LSM-43353	LSM-6872
BRD-K01162658	BRD-K01162658-001-01-5	LSM-43354	LSM-6874
BRD-K01651394	BRD-K01651394-001-01-6	LSM-43355	LSM-6883
BRD-K02806746	BRD-K02806746-001-01-0	LSM-43356	LSM-6898
BRD-K02882069	BRD-K02882069-001-01-0	LSM-43357	LSM-6899
BRD-K04798077	BRD-K04798077-001-01-6	LSM-43358	LSM-6923
BRD-K05570331	BRD-K05570331-001-01-0	LSM-43359	LSM-6932
BRD-K05625127	BRD-K05625127-001-01-0	LSM-43360	LSM-6933
BRD-K06884108	BRD-K06884108-001-01-5	LSM-43361	LSM-6945
BRD-K08110534	BRD-K08110534-001-01-7	LSM-43362	LSM-6961
BRD-K08828851	BRD-K08828851-001-01-9	LSM-43363	LSM-6967
BRD-K08942755	BRD-K08942755-001-01-5	LSM-43364	LSM-6969
BRD-K10771753	BRD-K10771753-001-01-6	LSM-43365	LSM-6991
BRD-K12796341	BRD-K12796341-001-01-0	LSM-43366	LSM-7019
BRD-K12913157	BRD-K12913157-001-01-4	LSM-43367	LSM-7022
BRD-K13365737	BRD-K13365737-001-01-5	LSM-43368	LSM-7029
BRD-K13848456	BRD-K13848456-001-01-9	LSM-43369	LSM-7035
BRD-K14408783	BRD-K14408783-001-01-5	LSM-43370	LSM-7046
BRD-K14518066	BRD-K14518066-001-01-9	LSM-43371	LSM-7048
BRD-K14990409	BRD-K14990409-001-01-6	LSM-43372	LSM-7054
BRD-K15502712	BRD-K15502712-001-01-0	LSM-43373	LSM-7055
BRD-K19554975	BRD-K19554975-001-01-9	LSM-43374	LSM-7102
BRD-K19724753	BRD-K19724753-001-01-6	LSM-43375	LSM-7105
BRD-K21980308	BRD-K21980308-001-01-0	LSM-43376	LSM-7132
BRD-K22576413	BRD-K22576413-001-01-7	LSM-43377	LSM-7142
BRD-K22801678	BRD-K22801678-001-01-9	LSM-43378	LSM-7146
BRD-K23713813	BRD-K23713813-001-01-1	LSM-43379	LSM-7159
BRD-K25290948	BRD-K25290948-001-01-6	LSM-43380	LSM-7170
BRD-K28394201	BRD-K28394201-001-01-5	LSM-43381	LSM-7211
BRD-K28397270	BRD-K28397270-001-01-4	LSM-43382	LSM-7212
BRD-K29060081	BRD-K29060081-001-01-6	LSM-43383	LSM-7221
BRD-K29974036	BRD-K29974036-001-01-4	LSM-43384	LSM-7235
BRD-K30174465	BRD-K30174465-001-01-8	LSM-43385	LSM-7237
BRD-K31439714	BRD-K31439714-001-01-3	LSM-43386	LSM-7256
BRD-K33593585	BRD-K33593585-001-01-1	LSM-43387	LSM-7280
BRD-K37959950	BRD-K37959950-001-01-7	LSM-43388	LSM-7338
BRD-K38774907	BRD-K38774907-001-01-3	LSM-43389	LSM-7345
BRD-K40487298	BRD-K40487298-001-01-5	LSM-43390	LSM-7363
BRD-K40567080	BRD-K40567080-001-01-6	LSM-43391	LSM-7364
BRD-K40630529	BRD-K40630529-001-01-1	LSM-43392	LSM-7365
BRD-K42509645	BRD-K42509645-001-01-4	LSM-43393	LSM-7390
BRD-K43419088	BRD-K43419088-001-01-9	LSM-43394	LSM-7397
BRD-K43436404	BRD-K43436404-001-01-0	LSM-43395	LSM-7398
BRD-K43634429	BRD-K43634429-001-01-1	LSM-43396	LSM-7400
BRD-K44387261	BRD-K44387261-001-01-6	LSM-43397	LSM-7408
BRD-K44446302	BRD-K44446302-001-01-1	LSM-43398	LSM-7412
BRD-K46450665	BRD-K46450665-001-01-2	LSM-43399	LSM-7438
BRD-K47203692	BRD-K47203692-001-01-1	LSM-43400	LSM-7450
BRD-K47277477	BRD-K47277477-001-01-6	LSM-43401	LSM-7452
BRD-K47716199	BRD-K47716199-001-01-0	LSM-43402	LSM-7460
BRD-K47810177	BRD-K47810177-001-01-7	LSM-43403	LSM-7463
BRD-K48816779	BRD-K48816779-001-01-5	LSM-43404	LSM-7476
BRD-K49335566	BRD-K49335566-001-02-0	LSM-43405	LSM-7486
BRD-K50360395	BRD-K50360395-001-01-3	LSM-43406	LSM-7495
BRD-K53350977	BRD-K53350977-001-01-7	LSM-43407	LSM-7538
BRD-K53700261	BRD-K53700261-001-01-8	LSM-43408	LSM-7543
BRD-K54543443	BRD-K54543443-001-01-2	LSM-43409	LSM-7560
BRD-K54560380	BRD-K54560380-001-01-1	LSM-43410	LSM-7561
BRD-K54735832	BRD-K54735832-001-01-3	LSM-43411	LSM-7566
BRD-K55522699	BRD-K55522699-001-01-6	LSM-43412	LSM-7583
BRD-K57218871	BRD-K57218871-001-01-9	LSM-43413	LSM-7605
BRD-K58079191	BRD-K58079191-001-01-7	LSM-43414	LSM-7622
BRD-K58404149	BRD-K58404149-001-01-0	LSM-43415	LSM-7625
BRD-K60069548	BRD-K60069548-001-01-4	LSM-43416	LSM-7644
BRD-K63947305	BRD-K63947305-001-01-1	LSM-43417	LSM-7703
BRD-K63948704	BRD-K63948704-001-01-6	LSM-43418	LSM-7704
BRD-K66925231	BRD-K66925231-001-02-1	LSM-43419	LSM-7741
BRD-K67727634	BRD-K67727634-001-01-5	LSM-43420	LSM-7751
BRD-K69142462	BRD-K69142462-001-01-2	LSM-43421	LSM-7770
BRD-K73643601	BRD-K73643601-001-01-5	LSM-43422	LSM-7814
BRD-K76582515	BRD-K76582515-001-01-7	LSM-43423	LSM-7838
BRD-K76893224	BRD-K76893224-001-01-0	LSM-43424	LSM-7842
BRD-K77069371	BRD-K77069371-001-01-7	LSM-43425	LSM-7848
BRD-K78120854	BRD-K78120854-001-01-3	LSM-43426	LSM-7866
