smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID
BRD-K12244279	BRD-K12244279-001-01-7	LSM-42879	LSM-2253
BRD-K47105409	BRD-K47105409-001-04-6	LSM-42880	LSM-2255
BRD-K12401458	BRD-K12401458-001-01-6	LSM-42881	LSM-2257
BRD-K12814321	BRD-K12814321-001-04-9	LSM-42882	LSM-2268
BRD-K13533483	BRD-K13533483-001-03-0	LSM-42883	LSM-2280
BRD-K14027855	BRD-K14027855-019-01-8	LSM-42884	LSM-2293
BRD-K70505054	BRD-K70505054-001-02-9	LSM-42886	LSM-2298
BRD-K14204120	BRD-K14204120-003-02-4	LSM-42885	LSM-2298
BRD-K14536225	BRD-K14536225-001-02-7	LSM-42887	LSM-2307
BRD-K14609189	BRD-K14609189-001-06-7	LSM-42888	LSM-2308
BRD-K15025317	BRD-K15025317-001-05-2	LSM-42889	LSM-2326
BRD-K40901640	BRD-K40901640-001-01-0	LSM-42890	LSM-2337
BRD-K15935639	BRD-K15935639-001-02-0	LSM-42891	LSM-2352
BRD-K16358524	BRD-K16358524-001-01-4	LSM-42892	LSM-2356
BRD-K16940042	BRD-K16940042-001-01-2	LSM-42893	LSM-2364
BRD-K17086338	BRD-K17086338-001-01-6	LSM-42894	LSM-2372
BRD-K17415526	BRD-K17415526-001-02-7	LSM-42895	LSM-2377
BRD-K17497770	BRD-K17497770-001-01-0	LSM-42896	LSM-2378
BRD-K17849083	BRD-K17849083-001-17-0	LSM-42898	LSM-2388
BRD-K17894950	BRD-K17894950-001-03-6	LSM-42899	LSM-2390
BRD-K18059238	BRD-K18059238-001-02-1	LSM-42900	LSM-2395
BRD-K18757346	BRD-K18757346-001-02-9	LSM-42901	LSM-2411
BRD-K53061490	BRD-K53061490-003-03-0	LSM-42902	LSM-2442
BRD-K19985802	BRD-K19985802-001-02-2	LSM-42903	LSM-2450
BRD-K20152659	BRD-K20152659-001-02-0	LSM-42904	LSM-2453
BRD-K96084870	BRD-K96084870-001-01-9	LSM-42905	LSM-2454
BRD-K20287671	BRD-K20287671-001-03-6	LSM-42906	LSM-2454
BRD-K20313525	BRD-K20313525-001-03-8	LSM-42907	LSM-2455
BRD-K21853356	BRD-K21853356-001-03-6	LSM-42910	LSM-2486
BRD-K23980805	BRD-K23980805-019-03-4	LSM-42913	LSM-2522
BRD-K23980805	BRD-K23980805-001-05-7	LSM-42913	LSM-2522
BRD-K24132293	BRD-K24132293-001-13-7	LSM-42914	LSM-2527
BRD-K25536815	BRD-K25536815-001-01-2	LSM-42916	LSM-2556
BRD-K91509126	BRD-K91509126-001-04-6	LSM-42918	LSM-2575
BRD-K91509126	BRD-K91509126-001-16-0	LSM-42918	LSM-2575
BRD-K26521938	BRD-K26521938-001-04-9	LSM-42919	LSM-2581
BRD-K26573499	BRD-K26573499-300-01-3	LSM-42920	LSM-2583
BRD-K26669427	BRD-K26669427-001-01-0	LSM-42921	LSM-2584
BRD-K26831771	BRD-K26831771-001-01-8	LSM-42922	LSM-2588
BRD-K27499107	BRD-K27499107-001-02-6	LSM-42923	LSM-2602
BRD-K27737647	BRD-K27737647-300-01-4	LSM-42924	LSM-2608
BRD-K28761384	BRD-K28761384-003-03-6	LSM-42927	LSM-2631
BRD-K29160485	BRD-K29160485-001-02-4	LSM-42928	LSM-2640
BRD-K29555132	BRD-K29555132-001-02-2	LSM-42929	LSM-2648
BRD-K30189597	BRD-K30189597-001-01-7	LSM-42930	LSM-2654
BRD-K30296925	BRD-K30296925-001-02-1	LSM-42931	LSM-2656
BRD-K31412180	BRD-K31412180-001-05-6	LSM-42932	LSM-2678
BRD-K31611373	BRD-K31611373-001-02-7	LSM-42934	LSM-2684
BRD-K32821942	BRD-K32821942-001-12-2	LSM-42936	LSM-2713
BRD-K32906660	BRD-K32906660-001-01-4	LSM-42937	LSM-2718
BRD-K33204703	BRD-K33204703-001-03-8	LSM-42938	LSM-2725
BRD-K33396764	BRD-K33396764-001-02-0	LSM-42939	LSM-2730
BRD-K92015269	BRD-K92015269-001-01-6	LSM-42940	LSM-2743
BRD-K34092021	BRD-K34092021-001-02-3	LSM-42941	LSM-2744
BRD-K34533029	BRD-K34533029-001-01-0	LSM-42942	LSM-2755
BRD-K34995470	BRD-K34995470-001-02-3	LSM-42944	LSM-2763
BRD-K35035132	BRD-K35035132-001-05-0	LSM-42945	LSM-2764
BRD-K35377380	BRD-K35377380-001-01-4	LSM-42946	LSM-2771
BRD-K54462405	BRD-K54462405-003-03-3	LSM-42947	LSM-2803
BRD-K37694030	BRD-K37694030-003-05-1	LSM-42948	LSM-2803
BRD-K37940862	BRD-K37940862-004-03-4	LSM-42951	LSM-2841
BRD-K38449220	BRD-K38449220-001-03-8	LSM-42953	LSM-2853
BRD-K39965020	BRD-K39965020-001-02-6	LSM-42954	LSM-2882
BRD-K40758391	BRD-K40758391-001-06-4	LSM-42955	LSM-2904
BRD-K41707108	BRD-K41707108-001-03-1	LSM-42957	LSM-2927
BRD-K42142750	BRD-K42142750-001-04-9	LSM-42958	LSM-2938
BRD-K93754473	BRD-K93754473-048-10-3	LSM-42959	LSM-2966
BRD-K45330754	BRD-K45330754-001-09-2	LSM-42960	LSM-3001
BRD-K46555875	BRD-K46555875-001-04-8	LSM-42961	LSM-3028
BRD-K73589491	BRD-K73589491-001-05-4	LSM-42962	LSM-3031
BRD-K46652470	BRD-K46652470-001-02-6	LSM-42963	LSM-3031
BRD-K47192521	BRD-K47192521-001-02-1	LSM-42964	LSM-3041
BRD-K47207162	BRD-K47207162-312-02-2	LSM-42965	LSM-3042
BRD-K85318537	BRD-K85318537-001-02-7	LSM-42966	LSM-3058
BRD-K48427617	BRD-K48427617-001-01-7	LSM-42967	LSM-3065
BRD-K49403449	BRD-K49403449-001-05-2	LSM-42969	LSM-3084
BRD-K49749421	BRD-K49749421-001-06-8	LSM-42970	LSM-3094
BRD-K60184833	BRD-K60184833-001-03-1	LSM-42972	LSM-3130
BRD-K51350053	BRD-K51350053-048-06-6	LSM-42973	LSM-3135
BRD-K51476772	BRD-K51476772-001-01-9	LSM-42975	LSM-3139
BRD-K51557114	BRD-K51557114-001-02-1	LSM-42976	LSM-3141
BRD-K51816706	BRD-K51816706-001-01-7	LSM-42977	LSM-3149
BRD-K52321331	BRD-K52321331-019-01-2	LSM-42978	LSM-3156
BRD-K52459643	BRD-K52459643-001-10-2	LSM-42979	LSM-3161
BRD-K52930707	BRD-K52930707-001-04-8	LSM-42980	LSM-3170
BRD-K53263234	BRD-K53263234-001-02-9	LSM-42981	LSM-3177
BRD-K54759182	BRD-K54759182-003-02-3	LSM-42985	LSM-3221
BRD-K56429665	BRD-K56429665-001-03-9	LSM-42986	LSM-3254
BRD-K62736196	BRD-K62736196-015-03-7	LSM-42988	LSM-3266
BRD-K56800335	BRD-K56800335-015-03-1	LSM-42987	LSM-3266
BRD-K57179821	BRD-K57179821-001-08-9	LSM-42989	LSM-3274
BRD-K59058766	BRD-K59058766-003-15-1	LSM-42990	LSM-3310
BRD-K59522102	BRD-K59522102-001-08-8	LSM-42991	LSM-3322
BRD-K62412498	BRD-K62412498-001-05-5	LSM-42993	LSM-3386
BRD-K63089472	BRD-K63089472-001-02-7	LSM-42994	LSM-3398
BRD-K63504947	BRD-K63504947-001-05-5	LSM-42995	LSM-3412
BRD-K63550534	BRD-K63550534-001-04-0	LSM-42996	LSM-3417
BRD-K63913457	BRD-K63913457-001-02-7	LSM-42997	LSM-3427
BRD-K64044582	BRD-K64044582-001-02-8	LSM-42998	LSM-3431
BRD-K64881093	BRD-K64881093-001-02-5	LSM-43000	LSM-3450
BRD-K65955264	BRD-K65955264-005-03-8	LSM-43001	LSM-3469
BRD-K66019333	BRD-K66019333-096-01-2	LSM-43002	LSM-3470
BRD-K66296774	BRD-K66296774-001-02-0	LSM-43003	LSM-3475
BRD-K68202742	BRD-K68202742-001-07-4	LSM-43005	LSM-3524
BRD-K68594214	BRD-K68594214-001-01-6	LSM-43007	LSM-3537
BRD-K69023402	BRD-K69023402-001-02-5	LSM-43008	LSM-3545
BRD-K69608737	BRD-K69608737-001-03-7	LSM-43009	LSM-3557
BRD-K70487031	BRD-K70487031-001-01-0	LSM-43011	LSM-3573
BRD-K71059170	BRD-K71059170-001-02-5	LSM-43013	LSM-3590
BRD-K72864428	BRD-K72864428-001-02-7	LSM-43017	LSM-3632
BRD-K74141488	BRD-K74141488-003-03-9	LSM-43018	LSM-3661
BRD-K76293260	BRD-K76293260-001-02-6	LSM-43020	LSM-3704
BRD-K76772814	BRD-K76772814-001-01-2	LSM-43021	LSM-3717
BRD-K76896292	BRD-K76896292-001-04-4	LSM-43022	LSM-3724
BRD-K78280988	BRD-K78280988-001-02-2	LSM-43024	LSM-3761
BRD-K78599730	BRD-K78599730-001-02-6	LSM-43025	LSM-3768
BRD-K78599730	BRD-K78599730-001-03-4	LSM-43025	LSM-3768
BRD-K79092138	BRD-K79092138-001-06-0	LSM-43026	LSM-3779
BRD-K79554012	BRD-K79554012-001-01-1	LSM-43027	LSM-3795
BRD-K80325895	BRD-K80325895-001-02-3	LSM-43028	LSM-3806
BRD-K81272440	BRD-K81272440-236-06-9	LSM-43029	LSM-3823
BRD-K82688027	BRD-K82688027-001-01-5	LSM-43030	LSM-3856
BRD-K82865713	BRD-K82865713-001-02-6	LSM-43031	LSM-3864
BRD-K82941592	BRD-K82941592-238-02-9	LSM-43032	LSM-3865
BRD-K84987553	BRD-K84987553-001-01-1	LSM-43034	LSM-3902
BRD-K85013741	BRD-K85013741-001-05-9	LSM-43035	LSM-3904
BRD-K87905482	BRD-K87905482-001-02-4	LSM-43037	LSM-3957
BRD-K89930444	BRD-K89930444-001-01-9	LSM-43039	LSM-4016
BRD-K92428153	BRD-K92428153-001-01-0	LSM-43041	LSM-4071
BRD-K94304934	BRD-K94304934-001-04-1	LSM-43042	LSM-4118
BRD-K95309561	BRD-K95309561-001-15-5	LSM-43043	LSM-4142
BRD-K95655893	BRD-K95655893-001-01-0	LSM-43044	LSM-4149
BRD-K96144918	BRD-K96144918-001-02-3	LSM-43045	LSM-4168
BRD-K96271548	BRD-K96271548-001-02-2	LSM-43046	LSM-4173
BRD-K96402602	BRD-K96402602-001-01-8	LSM-43047	LSM-4178
BRD-K97309399	BRD-K97309399-001-05-2	LSM-43048	LSM-4196
BRD-K98173387	BRD-K98173387-001-01-4	LSM-43049	LSM-4216
BRD-K98548675	BRD-K98548675-001-02-6	LSM-43050	LSM-4225
BRD-K99135512	BRD-K99135512-001-02-8	LSM-43051	LSM-4233
BRD-K99530743	BRD-K99530743-001-01-3	LSM-43052	LSM-4240
BRD-M45964048	BRD-M45964048-001-02-7	LSM-43053	LSM-4252
HMSL10091	HMSL10091-101-1	LSM-43287	LSM-6299
HMSL10108	HMSL10108-101-2	LSM-42789	LSM-1108
HMSL10108	HMSL10108-101-1	LSM-42789	LSM-1108
HMSL10104	HMSL10104-101-1	LSM-42788	LSM-1104
HMSL10095	HMSL10095-101-1	LSM-43288	LSM-6300
BRD-K76908866	BRD-K76908866-001-02-7	LSM-42777	LSM-1010
BRD-K76908866	BRD-K76908866-001-03-5	LSM-42777	LSM-1010
BRD-K76908866	BRD-K76908866-001-01-9	LSM-42777	LSM-1010
BRD-K85606544	BRD-K85606544-001-01-8	LSM-42778	LSM-1018
BRD-K85606544	BRD-K85606544-001-04-2	LSM-42778	LSM-1018
BRD-K04923131	BRD-K04923131-001-06-3	LSM-42780	LSM-1031
BRD-K04923131	BRD-K04923131-001-11-3	LSM-42780	LSM-1031
