smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID	expunge
BRD-A38030642	BRD-A38030642-001-01-2	LSM-42817	LSM-1507	1
BRD-A38898897	BRD-A38898897-003-01-0	LSM-42818	LSM-1512	1
BRD-A38913120	BRD-A38913120-001-01-0	LSM-42819	LSM-1513	1
BRD-A41145729	BRD-A41145729-001-02-7	LSM-42820	LSM-1528	1
BRD-A41301928	BRD-A41301928-001-02-5	LSM-42821	LSM-1530	1
BRD-A47065382	BRD-A47065382-001-02-9	LSM-42822	LSM-1581	1
BRD-A47513740	BRD-A47513740-001-02-5	LSM-42823	LSM-1584	1
BRD-A48570745	BRD-A48570745-001-01-1	LSM-42824	LSM-1593	1
BRD-A49680073	BRD-A49680073-001-01-9	LSM-42825	LSM-1603	1
BRD-A55484088	BRD-A55484088-050-01-7	LSM-42826	LSM-1645	1
BRD-A55946879	BRD-A55946879-001-02-9	LSM-42827	LSM-1650	0
BRD-A58564983	BRD-A58564983-001-03-8	LSM-42828	LSM-1662	1
BRD-A69815203	BRD-A69815203-001-05-0	LSM-42829	LSM-1703	0
BRD-A85025557	BRD-A85025557-001-01-7	LSM-42830	LSM-1727	0
BRD-A71157293	BRD-A71157293-003-03-5	LSM-42831	LSM-1753	0
BRD-A71799696	BRD-A71799696-001-01-5	LSM-42832	LSM-1759	1
BRD-A73605923	BRD-A73605923-001-01-7	LSM-42833	LSM-1772	1
BRD-A75455249	BRD-A75455249-001-12-9	LSM-42834	LSM-1789	1
BRD-A77722753	BRD-A77722753-003-02-5	LSM-42835	LSM-1803	0
BRD-A91866971	BRD-A91866971-001-02-2	LSM-42837	LSM-1902	1
BRD-K00256256	BRD-K00256256-001-03-8	LSM-42838	LSM-1977	1
BRD-K00910650	BRD-K00910650-001-01-6	LSM-42839	LSM-1995	1
BRD-K01578344	BRD-K01578344-001-07-9	LSM-42840	LSM-2004	0
BRD-K01624546	BRD-K01624546-001-02-8	LSM-42841	LSM-2006	1
BRD-K02283807	BRD-K02283807-003-01-4	LSM-42842	LSM-2023	1
BRD-K03557653	BRD-K03557653-001-02-7	LSM-42843	LSM-2049	1
BRD-K03601405	BRD-K03601405-001-01-6	LSM-42844	LSM-2052	1
BRD-K03816923	BRD-K03816923-001-04-7	LSM-42845	LSM-2056	0
BRD-K03816923	BRD-K03816923-001-07-0	LSM-42845	LSM-2056	0
BRD-K04010869	BRD-K04010869-001-02-6	LSM-42846	LSM-2062	1
BRD-K04210847	BRD-K04210847-001-01-1	LSM-42848	LSM-2071	1
BRD-K29950728	BRD-K29950728-048-08-3	LSM-42849	LSM-2072	0
BRD-K04218075	BRD-K04218075-048-03-4	LSM-42850	LSM-2072	0
BRD-K04546108	BRD-K04546108-066-01-5	LSM-42851	LSM-2077	1
BRD-K05979026	BRD-K05979026-019-01-5	LSM-42852	LSM-2107	1
