smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID	expunge
BRD-K74148702	BRD-K74148702-001-03-8	LSM-43102	LSM-4705	0
BRD-K70500696	BRD-K70500696-001-01-6	LSM-43103	LSM-4709	1
BRD-K70960308	BRD-K70960308-003-01-8	LSM-43104	LSM-4713	1
BRD-K71380401	BRD-K71380401-001-02-6	LSM-43105	LSM-4715	1
BRD-K85266146	BRD-K85266146-001-01-3	LSM-43106	LSM-4744	1
BRD-K85493820	BRD-K85493820-001-01-6	LSM-43107	LSM-4745	1
BRD-K86574132	BRD-K86574132-001-04-9	LSM-43108	LSM-4746	1
BRD-K89784888	BRD-K89784888-001-01-3	LSM-43109	LSM-4754	1
BRD-K89843224	BRD-K89843224-001-01-0	LSM-43110	LSM-4756	1
BRD-K91987625	BRD-K91987625-003-01-2	LSM-43111	LSM-4760	1
BRD-K96076993	BRD-K96076993-001-01-7	LSM-43112	LSM-4775	1
BRD-M41783010	BRD-M41783010-238-02-7	LSM-43113	LSM-4787	1
BRD-M41783010	BRD-M41783010-238-01-9	LSM-43113	LSM-4787	1
BRD-U88459701	BRD-U88459701-000-01-8	LSM-43114	LSM-4788	1
BRD-A28105619	BRD-A28105619-001-01-3	LSM-43115	LSM-4789	1
BRD-K65111630	BRD-K65111630-001-02-6	LSM-43116	LSM-4795	1
BRD-K22832646	BRD-K22832646-001-06-2	LSM-43117	LSM-4799	1
BRD-K30849099	BRD-K30849099-001-07-6	LSM-43118	LSM-4800	1
BRD-K62683350	BRD-K62683350-001-06-6	LSM-43119	LSM-4802	1
BRD-K78930611	BRD-K78930611-001-07-6	LSM-43120	LSM-4804	1
BRD-K03736784	BRD-K03736784-001-01-1	LSM-43121	LSM-4818	1
BRD-K34222889	BRD-K34222889-001-01-9	LSM-43122	LSM-4819	1
BRD-K74797618	BRD-K74797618-001-01-9	LSM-43123	LSM-4820	1
BRD-K83336168	BRD-K83336168-001-01-9	LSM-43124	LSM-4821	1
BRD-K17119186	BRD-K17119186-001-01-8	LSM-43125	LSM-4823	1
BRD-K25504083	BRD-K25504083-001-03-1	LSM-43126	LSM-4824	1
BRD-K34332553	BRD-K34332553-001-05-2	LSM-43127	LSM-4825	1
BRD-K84874839	BRD-K84874839-001-06-6	LSM-43128	LSM-4857	1
BRD-K11987803	BRD-K11987803-001-01-7	LSM-43129	LSM-4867	1
BRD-K33392208	BRD-K33392208-001-01-5	LSM-43130	LSM-4874	1
BRD-K42541148	BRD-K42541148-001-01-9	LSM-43131	LSM-4877	1
BRD-K70524666	BRD-K70524666-001-01-2	LSM-43132	LSM-4883	1
BRD-K73238422	BRD-K73238422-001-01-1	LSM-43133	LSM-4885	1
BRD-K89626439	BRD-K89626439-001-01-0	LSM-43134	LSM-4886	1
BRD-K84937637	BRD-K84937637-001-03-2	LSM-42782	LSM-4886	1
BRD-K91671201	BRD-K91671201-001-01-8	LSM-43135	LSM-4887	1
BRD-A79465854	BRD-A79465854-001-01-3	LSM-43136	LSM-4921	1
BRD-A81282034	BRD-A81282034-001-02-9	LSM-43137	LSM-4922	1
BRD-K56653679	BRD-K56653679-001-01-2	LSM-43138	LSM-4925	1
BRD-K10882151	BRD-K10882151-001-06-8	LSM-43139	LSM-4936	1
BRD-K52904470	BRD-K52904470-001-02-2	LSM-43140	LSM-4939	1
BRD-A11007541	BRD-A11007541-003-01-9	LSM-43141	LSM-4964	1
BRD-A20697603	BRD-A20697603-001-05-6	LSM-43142	LSM-4991	1
BRD-A20697603	BRD-A20697603-001-06-4	LSM-43142	LSM-4991	1
BRD-A26002865	BRD-A26002865-001-01-5	LSM-43143	LSM-5016	1
BRD-A31312900	BRD-A31312900-001-01-8	LSM-43144	LSM-5022	1
BRD-A35782587	BRD-A35782587-001-01-8	LSM-43146	LSM-5035	1
BRD-A45664787	BRD-A45664787-001-01-4	LSM-43147	LSM-5057	1
BRD-A52282606	BRD-A52282606-001-05-5	LSM-43148	LSM-5074	1
BRD-A54635441	BRD-A54635441-078-06-7	LSM-43149	LSM-5079	1
BRD-A55815733	BRD-A55815733-001-05-5	LSM-43150	LSM-5083	1
BRD-A59808129	BRD-A59808129-001-01-7	LSM-43151	LSM-5093	1
BRD-A67981824	BRD-A67981824-236-01-2	LSM-43153	LSM-5124	1
BRD-A72441487	BRD-A72441487-001-04-0	LSM-43154	LSM-5136	1
BRD-A83892713	BRD-A83892713-001-01-3	LSM-43155	LSM-5167	1
BRD-A84282119	BRD-A84282119-003-01-2	LSM-5143	LSM-5170	1
BRD-A84327315	BRD-A84327315-001-01-1	LSM-43157	LSM-5171	1
BRD-A87387433	BRD-A87387433-001-02-7	LSM-43158	LSM-5175	1
BRD-A87848830	BRD-A87848830-001-01-9	LSM-43159	LSM-5177	1
BRD-A94810754	BRD-A94810754-001-03-8	LSM-43160	LSM-5186	1
BRD-A96799240	BRD-A96799240-001-02-5	LSM-43161	LSM-5191	1
BRD-A96799240	BRD-A96799240-001-01-7	LSM-43161	LSM-5191	1
BRD-K01507359	BRD-K01507359-001-05-4	LSM-43162	LSM-5207	0
BRD-K01507359	BRD-K01507359-001-10-4	LSM-43162	LSM-5207	0
BRD-K01507359	BRD-K01507359-001-11-2	LSM-43162	LSM-5207	0
BRD-K52735702	BRD-K52735702-001-01-2	LSM-43164	LSM-5216	0
BRD-K05350981	BRD-K05350981-001-01-0	LSM-43165	LSM-5230	1
BRD-K07888107	BRD-K07888107-001-01-6	LSM-43166	LSM-5254	1
BRD-K09436313	BRD-K09436313-001-01-2	LSM-43167	LSM-5269	1
BRD-K09900591	BRD-K09900591-001-18-4	LSM-43168	LSM-5272	0
BRD-K10573841	BRD-K10573841-001-01-0	LSM-43169	LSM-5276	1
BRD-K10961822	BRD-K10961822-001-03-6	LSM-43170	LSM-5285	1
BRD-K13514097	BRD-K13514097-001-01-2	LSM-43172	LSM-5313	1
BRD-K22429181	BRD-K22429181-001-12-6	LSM-43173	LSM-5317	0
BRD-K22429181	BRD-K22429181-001-08-4	LSM-43173	LSM-5317	0
BRD-K13927029	BRD-K13927029-001-01-9	LSM-43174	LSM-5317	0
BRD-K13927029	BRD-K13927029-001-02-7	LSM-43174	LSM-5317	0
BRD-K14550461	BRD-K14550461-001-01-3	LSM-43175	LSM-5325	1
BRD-K15262564	BRD-K15262564-001-12-7	LSM-43176	LSM-5334	1
BRD-K15402119	BRD-K15402119-001-01-2	LSM-43177	LSM-5335	1
BRD-K15600710	BRD-K15600710-066-01-7	LSM-43178	LSM-5338	1
BRD-K50590187	BRD-K50590187-001-17-3	LSM-43180	LSM-5343	1
BRD-K50590187	BRD-K50590187-001-10-8	LSM-43180	LSM-5343	1
BRD-K16336526	BRD-K16336526-001-04-2	LSM-43179	LSM-5343	1
BRD-K17743125	BRD-K17743125-001-03-5	LSM-43181	LSM-5351	1
BRD-K17823458	BRD-K17823458-001-01-6	LSM-43182	LSM-5352	1
BRD-K23369905	BRD-K23369905-008-01-6	LSM-43183	LSM-5389	0
BRD-K24656285	BRD-K24656285-001-04-4	LSM-43184	LSM-5398	1
BRD-K24656285	BRD-K24656285-001-03-6	LSM-43184	LSM-5398	1
BRD-K26674531	BRD-K26674531-001-01-3	LSM-43187	LSM-5409	1
BRD-K55889443	BRD-K55889443-001-01-8	LSM-43188	LSM-5420	0
BRD-K28346421	BRD-K28346421-001-01-9	LSM-43189	LSM-5420	0
BRD-K29733039	BRD-K29733039-001-01-1	LSM-43190	LSM-5437	1
BRD-K29905972	BRD-K29905972-001-03-0	LSM-43191	LSM-5438	1
BRD-K30097969	BRD-K30097969-001-04-6	LSM-43192	LSM-5439	1
BRD-K31484631	BRD-K31484631-001-05-0	LSM-43193	LSM-5442	1
BRD-K30563334	BRD-K30563334-001-01-1	LSM-43194	LSM-5442	1
BRD-K30707190	BRD-K30707190-001-03-3	LSM-43195	LSM-5449	1
BRD-K30707190	BRD-K30707190-001-02-5	LSM-43195	LSM-5449	1
BRD-K32536677	BRD-K32536677-001-01-0	LSM-43196	LSM-5463	1
BRD-K32536677	BRD-K32536677-001-03-6	LSM-43196	LSM-5463	1
BRD-K32536677	BRD-K32536677-001-02-8	LSM-43196	LSM-5463	1
BRD-K33551950	BRD-K33551950-001-01-6	LSM-43197	LSM-5476	1
BRD-K35687265	BRD-K35687265-236-01-8	LSM-43198	LSM-5488	1
BRD-K67637637	BRD-K67637637-003-07-6	LSM-43199	LSM-5498	0
BRD-K38756014	BRD-K38756014-001-04-4	LSM-43200	LSM-5511	1
BRD-K38756014	BRD-K38756014-001-03-6	LSM-43200	LSM-5511	1
BRD-K43236057	BRD-K43236057-001-04-8	LSM-43202	LSM-5542	1
BRD-K45888792	BRD-K45888792-001-01-0	LSM-43204	LSM-5567	1
BRD-K45995181	BRD-K45995181-001-01-2	LSM-43205	LSM-5568	1
BRD-K47878171	BRD-K47878171-086-04-5	LSM-43206	LSM-5589	1
BRD-K47943470	BRD-K47943470-001-07-7	LSM-43207	LSM-5591	1
BRD-K48935217	BRD-K48935217-001-01-3	LSM-43208	LSM-5600	1
BRD-K52075040	BRD-K52075040-001-03-0	LSM-43210	LSM-5629	1
BRD-K52075040	BRD-K52075040-001-06-3	LSM-43210	LSM-5629	1
BRD-K96134740	BRD-K96134740-001-01-0	LSM-43211	LSM-5634	0
BRD-K55070890	BRD-K55070890-001-02-1	LSM-43212	LSM-5655	1
BRD-K55420858	BRD-K55420858-001-01-0	LSM-43213	LSM-5660	1
BRD-K91696562	BRD-K91696562-001-01-8	LSM-43214	LSM-5664	1
BRD-K55966568	BRD-K55966568-001-01-3	LSM-43215	LSM-5664	1
BRD-K58550667	BRD-K58550667-001-04-6	LSM-43216	LSM-5684	1
BRD-K58550667	BRD-K58550667-001-01-2	LSM-43216	LSM-5684	1
BRD-K58550667	BRD-K58550667-001-05-3	LSM-43216	LSM-5684	1
BRD-K62012036	BRD-K62012036-001-10-2	LSM-43217	LSM-5713	0
BRD-K62012036	BRD-K62012036-001-06-0	LSM-43217	LSM-5713	0
BRD-K62959606	BRD-K62959606-001-10-4	LSM-43218	LSM-5718	1
BRD-K63641886	BRD-K63641886-001-01-7	LSM-43221	LSM-5725	1
BRD-K63915849	BRD-K63915849-001-01-1	LSM-43222	LSM-5728	1
BRD-K64935403	BRD-K64935403-001-01-6	LSM-43223	LSM-5734	1
BRD-K65261396	BRD-K65261396-002-01-3	LSM-43224	LSM-5735	1
BRD-K65331431	BRD-K65331431-001-05-4	LSM-43225	LSM-5736	1
BRD-K65331431	BRD-K65331431-001-04-7	LSM-43225	LSM-5736	1
BRD-K66175015	BRD-K66175015-001-01-7	LSM-43226	LSM-5742	1
BRD-K68132782	BRD-K68132782-003-10-4	LSM-43227	LSM-5759	1
BRD-K68132782	BRD-K68132782-001-01-7	LSM-43227	LSM-5759	1
BRD-K69470111	BRD-K69470111-236-07-1	LSM-43228	LSM-5768	0
BRD-K71823332	BRD-K71823332-001-01-1	LSM-43229	LSM-5798	1
BRD-K74133369	BRD-K74133369-001-01-8	LSM-43230	LSM-5820	1
BRD-K74733595	BRD-K74733595-001-02-9	LSM-43231	LSM-5823	1
BRD-K75181824	BRD-K75181824-001-03-1	LSM-43232	LSM-5828	1
BRD-K75181824	BRD-K75181824-001-04-9	LSM-43232	LSM-5828	1
BRD-K77175907	BRD-K77175907-001-04-9	LSM-43234	LSM-5841	1
BRD-K77175907	BRD-K77175907-001-03-1	LSM-43234	LSM-5841	1
BRD-K77390737	BRD-K77390737-001-03-2	LSM-43235	LSM-5844	1
BRD-K79437791	BRD-K79437791-001-03-2	LSM-43236	LSM-5856	1
BRD-K79437791	BRD-K79437791-001-04-0	LSM-43236	LSM-5856	1
BRD-K81169441	BRD-K81169441-236-06-6	LSM-43237	LSM-5869	1
BRD-K81473043	BRD-K81473043-001-07-0	LSM-43238	LSM-5870	1
BRD-K81473043	BRD-K81473043-001-04-7	LSM-43238	LSM-5870	1
BRD-K83636919	BRD-K83636919-001-01-4	LSM-43240	LSM-5898	0
BRD-K83988098	BRD-K83988098-003-01-8	LSM-43241	LSM-5901	1
BRD-K85518562	BRD-K85518562-236-06-3	LSM-43242	LSM-5913	1
BRD-K86465814	BRD-K86465814-001-04-5	LSM-43243	LSM-5921	1
BRD-K86465814	BRD-K86465814-001-03-7	LSM-43243	LSM-5921	1
BRD-K89708791	BRD-K89708791-001-01-8	LSM-43244	LSM-5951	0
BRD-K92870997	BRD-K92870997-001-14-6	LSM-43245	LSM-5973	1
BRD-K92870997	BRD-K92870997-001-13-8	LSM-43245	LSM-5973	1
BRD-K93433262	BRD-K93433262-001-01-7	LSM-43246	LSM-5978	1
BRD-K95402279	BRD-K95402279-001-01-1	LSM-43247	LSM-5994	1
BRD-K95402279	BRD-K95402279-001-03-7	LSM-43247	LSM-5994	1
BRD-K99369265	BRD-K99369265-001-01-4	LSM-43249	LSM-6025	1
BRD-K99498722	BRD-K99498722-001-01-8	LSM-43250	LSM-6028	1
BRD-K99984802	BRD-K99984802-098-04-0	LSM-43251	LSM-6033	1
BRD-M02190957	BRD-M02190957-065-04-0	LSM-4318	LSM-6034	1
BRD-M08470251	BRD-M08470251-096-02-2	LSM-43252	LSM-6035	1
BRD-M09350392	BRD-M09350392-065-04-6	LSM-43253	LSM-6036	1
BRD-M15413738	BRD-M15413738-326-04-3	LSM-43254	LSM-6038	1
BRD-M16762496	BRD-M16762496-001-01-9	LSM-43255	LSM-6039	1
BRD-K49371609	BRD-K49371609-310-01-1	LSM-43255	LSM-6039	1
BRD-M18219129	BRD-M18219129-065-03-4	LSM-6719	LSM-6040	1
BRD-M30251550	BRD-M30251550-065-04-7	LSM-43256	LSM-6042	1
BRD-M34926192	BRD-M34926192-065-04-4	LSM-43257	LSM-6043	1
BRD-M35773784	BRD-M35773784-330-01-7	LSM-43258	LSM-6044	1
BRD-M37402942	BRD-M37402942-211-01-2	LSM-43259	LSM-6045	1
BRD-M39942365	BRD-M39942365-103-01-2	LSM-43260	LSM-6046	1
BRD-M41106164	BRD-M41106164-001-01-9	LSM-43261	LSM-6048	1
BRD-M45038741	BRD-M45038741-046-03-3	LSM-1259	LSM-6049	1
BRD-M45580279	BRD-M45580279-077-04-7	LSM-43262	LSM-6050	1
BRD-M47937986	BRD-M47937986-001-02-5	LSM-43263	LSM-6052	1
BRD-M53001068	BRD-M53001068-230-04-3	LSM-6010	LSM-6053	1
BRD-M56587789	BRD-M56587789-103-01-1	LSM-43264	LSM-6054	1
BRD-M58473998	BRD-M58473998-045-02-0	LSM-1599	LSM-6055	1
BRD-M59543297	BRD-M59543297-001-04-6	LSM-43265	LSM-6056	1
BRD-M61246020	BRD-M61246020-327-02-9	LSM-6498	LSM-6057	1
BRD-M61872305	BRD-M61872305-065-04-0	LSM-2396	LSM-6058	1
BRD-M72681210	BRD-M72681210-065-04-6	LSM-2558	LSM-6060	1
BRD-M73371355	BRD-M73371355-312-01-0	LSM-43266	LSM-6061	1
BRD-M79902621	BRD-M79902621-065-04-2	LSM-5065	LSM-6062	1
BRD-M90449146	BRD-M90449146-001-01-6	LSM-43267	LSM-6063	1
BRD-M94527406	BRD-M94527406-103-01-4	LSM-3571	LSM-6064	1
BRD-K36267058	BRD-K36267058-001-04-1	LSM-43268	LSM-6176	1
BRD-A23770159	BRD-A23770159-001-02-3	LSM-43269	LSM-6188	1
BRD-A75517195	BRD-A75517195-001-01-3	LSM-43270	LSM-6194	1
BRD-A76279427	BRD-A76279427-001-01-9	LSM-43271	LSM-6196	1
BRD-A81541225	BRD-A81541225-001-02-7	LSM-43272	LSM-6197	1
BRD-K02822062	BRD-K02822062-001-01-3	LSM-43273	LSM-6206	1
BRD-K04623885	BRD-K04623885-001-03-4	LSM-43274	LSM-6209	1
BRD-K07303502	BRD-K07303502-001-02-5	LSM-43275	LSM-6213	1
BRD-K08845546	BRD-K08845546-001-02-2	LSM-43276	LSM-6216	1
BRD-K09907482	BRD-K09907482-001-02-5	LSM-43277	LSM-6217	1
BRD-K26664453	BRD-K26664453-001-03-4	LSM-43278	LSM-6235	0
BRD-K33272502	BRD-K33272502-001-01-2	LSM-43279	LSM-6241	1
BRD-K61829047	BRD-K61829047-001-01-6	LSM-43280	LSM-6257	1
BRD-K68548958	BRD-K68548958-001-01-2	LSM-43281	LSM-6264	1
BRD-K74761218	BRD-K74761218-001-03-5	LSM-43283	LSM-6269	1
BRD-K80527266	BRD-K80527266-001-01-7	LSM-43284	LSM-6275	1
BRD-K92301463	BRD-K92301463-001-03-0	LSM-43285	LSM-6287	1
BRD-K93095519	BRD-K93095519-001-01-5	LSM-43286	LSM-6289	1
HMSL10270	HMSL10270-101-1	LSM-43060	LSM-4290	0
HMSL10175	HMSL10175-106-3	LSM-42800	LSM-1176	1
HMSL10052	HMSL10052-101-3	LSM-42782	LSM-1052	0
HMSL10054	HMSL10054-101-1	LSM-42784	LSM-1054	1
HMSL10078	HMSL10078-101-1	LSM-43209	LSM-5601	1
HMSL10010	HMSL10010-101-1	LSM-42777	LSM-1010	1
HMSL10010	HMSL10010-101-2	LSM-42777	LSM-1010	1
HMSL10017	HMSL10017-101-1	LSM-43248	LSM-6015	1
HMSL10017	HMSL10017-101-2	LSM-43248	LSM-6015	1
HMSL10018	HMSL10018-101-1	LSM-42778	LSM-1018	1
HMSL10018	HMSL10018-101-2	LSM-42778	LSM-1018	1
HMSL10031	HMSL10031-101-1	LSM-42780	LSM-1031	1
HMSL10275	HMSL10275-101-1	LSM-43294	LSM-6361	1
HMSL10279	HMSL10279-101-1	LSM-43005	LSM-3524	1
HMSL10356	HMSL10356-101-1	LSM-43344	LSM-6712	1
HMSL10293	HMSL10293-101-1	LSM-43008	LSM-3545	1
HMSL10296	HMSL10296-101-1	LSM-43289	LSM-6313	1
HMSL10306	HMSL10306-101-1	LSM-43281	LSM-6264	1
HMSL10310	HMSL10310-101-1	LSM-43181	LSM-5351	1
HMSL10313	HMSL10313-101-1	LSM-43290	LSM-6322	1
HMSL10314	HMSL10314-101-1	LSM-43291	LSM-6323	1
HMSL10317	HMSL10317-101-1	LSM-43196	LSM-5463	1
HMSL10318	HMSL10318-101-1	LSM-42917	LSM-2557	0
HMSL10325	HMSL10325-101-1	LSM-43292	LSM-6330	1
BRD-K69181860	BRD-K69181860-001-02-6	LSM-43332	LSM-6645	1
BRD-K66763349	BRD-K66763349-001-01-7	LSM-43331	LSM-6638	1
BRD-K55991774	BRD-K55991774-001-01-1	LSM-43330	LSM-6620	1
BRD-K55000304	BRD-K55000304-001-07-7	LSM-43329	LSM-6618	1
BRD-K52678950	BRD-K52678950-001-01-3	LSM-43328	LSM-6613	1
BRD-K51320264	BRD-K51320264-001-05-5	LSM-43327	LSM-6611	1
BRD-K50289629	BRD-K50289629-001-03-8	LSM-43326	LSM-6609	1
BRD-K49807497	BRD-K49807497-001-02-2	LSM-43325	LSM-6607	1
BRD-K47114202	BRD-K47114202-001-06-2	LSM-43324	LSM-6603	1
BRD-K44524854	BRD-K44524854-001-01-7	LSM-43323	LSM-6597	1
BRD-K34311178	BRD-K34311178-001-01-0	LSM-43322	LSM-6582	1
BRD-K27885958	BRD-K27885958-086-01-9	LSM-43320	LSM-6575	1
BRD-K21508676	BRD-K21508676-001-01-3	LSM-43319	LSM-6564	1
BRD-K13665559	BRD-K13665559-001-01-3	LSM-43318	LSM-6548	1
BRD-K03070961	BRD-K03070961-001-02-8	LSM-43316	LSM-6527	1
BRD-A90796352	BRD-A90796352-001-01-3	LSM-43314	LSM-6512	1
BRD-A87199639	BRD-A87199639-001-01-0	LSM-43313	LSM-6508	1
BRD-A82932926	BRD-A82932926-001-01-1	LSM-43312	LSM-6500	1
BRD-A78080706	BRD-A78080706-001-01-1	LSM-43311	LSM-6496	1
BRD-A73933229	BRD-A73933229-001-01-4	LSM-43310	LSM-6493	1
BRD-A71697640	BRD-A71697640-001-01-8	LSM-43309	LSM-6490	1
BRD-A67711610	BRD-A67711610-001-02-7	LSM-43307	LSM-6482	1
BRD-A64243931	BRD-A64243931-001-01-8	LSM-43306	LSM-6477	1
BRD-A52934756	BRD-A52934756-001-01-8	LSM-43305	LSM-6456	1
BRD-A42129474	BRD-A42129474-001-03-5	LSM-43304	LSM-6439	1
BRD-A39996500	BRD-A39996500-001-01-4	LSM-43303	LSM-6437	1
BRD-A39907652	BRD-A39907652-001-01-7	LSM-43302	LSM-6436	1
BRD-A36936672	BRD-A36936672-236-01-7	LSM-43301	LSM-6433	1
BRD-A26658572	BRD-A26658572-001-02-6	LSM-43300	LSM-6419	1
BRD-A25579302	BRD-A25579302-001-02-2	LSM-43299	LSM-6417	1
BRD-A11112921	BRD-A11112921-001-01-1	LSM-43298	LSM-6390	1
BRD-A06304526	BRD-A06304526-001-01-0	LSM-43297	LSM-6382	1
BRD-A01314135	BRD-A01314135-001-01-7	LSM-43296	LSM-6369	1
BRD-A00398769	BRD-A00398769-001-02-2	LSM-43295	LSM-6365	1
BRD-A05893017	BRD-A05893017-001-01-9	LSM-43156	LSM-5167	1
BRD-A67514145	BRD-A67514145-003-04-1	LSM-43145	LSM-5034	0
BRD-K14716343	BRD-K14716343-001-03-0	LSM-43114	LSM-4788	1
BRD-A61304759	BRD-A61304759-001-02-8	LSM-43056	LSM-4259	1
BRD-K17628612	BRD-K17628612-001-03-8	LSM-43019	LSM-3682	0
BRD-K53517854	BRD-K53517854-050-03-2	LSM-43015	LSM-3625	0
BRD-K91047982	BRD-K91047982-001-01-6	LSM-42992	LSM-3363	0
BRD-K18739469	BRD-K18739469-001-02-8	LSM-42982	LSM-3181	0
BRD-K67470788	BRD-K67470788-001-02-4	LSM-42952	LSM-2842	0
BRD-K73819439	BRD-K73819439-001-01-9	LSM-42971	LSM-3096	0
BRD-K02558072	BRD-K02558072-001-03-7	LSM-42915	LSM-2542	0
BRD-K14842454	BRD-K14842454-001-01-3	LSM-42861	LSM-2152	0
BRD-K64970062	BRD-K64970062-001-05-6	LSM-42897	LSM-2387	0
BRD-K85660637	BRD-K85660637-001-04-7	LSM-42912	LSM-2516	0
HMSL10017	HMSL10017-101-1	LSM-43248	LSM-6015	1
HMSL10017	HMSL10017-101-2	LSM-43248	LSM-6015	1
HMSL10078	HMSL10078-101-1	LSM-43209	LSM-5601	1
HMSL10091	HMSL10091-101-1	LSM-43287	LSM-6299	1
HMSL10095	HMSL10095-101-1	LSM-43288	LSM-6300	1
BRD-K71554540	BRD-K71554540-001-04-4	LSM-43333	LSM-6651	1
BRD-K80346834	BRD-K80346834-001-01-5	LSM-43334	LSM-6668	1
BRD-K83643280	BRD-K83643280-001-01-1	LSM-43335	LSM-6677	1
BRD-K86472598	BRD-K86472598-001-01-9	LSM-43336	LSM-6681	1
BRD-K98824517	BRD-K98824517-001-09-8	LSM-43337	LSM-6696	1
BRD-M21493215	BRD-M21493215-051-03-5	LSM-1886	LSM-6698	1
BRD-M23230978	BRD-M23230978-001-01-5	LSM-43338	LSM-6699	1
BRD-M23617377	BRD-M23617377-211-01-5	LSM-43339	LSM-6700	1
BRD-M42309903	BRD-M42309903-065-01-9	LSM-43340	LSM-6701	1
BRD-M50166410	BRD-M50166410-326-01-4	LSM-43341	LSM-6702	1
BRD-M63173034	BRD-M63173034-001-01-0	LSM-43342	LSM-6703	1
BRD-M99772999	BRD-M99772999-326-02-9	LSM-43343	LSM-6706	1
HMSL10279	HMSL10279-101-1	LSM-43005	LSM-3524	1
CGC00003462	CGC00003462-001	LSM-42789	LSM-1108	1
CGC00003253	CGC00003253-002	LSM-42864	LSM-2158	0
CGC00003453	CGC00003453-001	LSM-42896	LSM-2378	1
CGC00003473	CGC00003473-001	LSM-42914	LSM-2527	1
CGC00001597	CGC00001597-004	LSM-42917	LSM-2557	0
CGC00003164	CGC00003164-002	LSM-42924	LSM-2608	0
CGC00003459	CGC00003459-001	LSM-42947	LSM-2803	0
CGC00000543	CGC00000543-004	LSM-42959	LSM-2966	0
CGC00000993	CGC00000993-003	LSM-42962	LSM-3031	0
CGC00003458	CGC00003458-001	LSM-42984	LSM-3221	0
CGC00003477	CGC00003477-001	LSM-43005	LSM-3524	1
CGC00002584	CGC00002584-002	LSM-43006	LSM-3525	0
CGC00002164	CGC00002164-004	LSM-43026	LSM-3779	0
CGC00002308	CGC00002308-002	LSM-43193	LSM-5442	1
CGC00003448	CGC00003448-001	LSM-43285	LSM-6287	1
CGC00000425	CGC00000425-003	LSM-43317	LSM-6543	0
CGC00003464	CGC00003464-001	LSM-43329	LSM-6618	1
CGC00003466	CGC00003466-001	LSM-43345	LSM-6727	1
CGC00003457	CGC00003457-001	LSM-43346	LSM-6728	1
CGC00003471	CGC00003471-001	LSM-43347	LSM-6729	1
CGC00000062	CGC00000062-002	LSM-43348	LSM-6730	1
CGC00003454	CGC00003454-001	LSM-43349	LSM-6731	1
CGC00001981	CGC00001981-003	LSM-43350	LSM-6739	1
BRD-K29799191	BRD-K29799191-001-01-6	LSM-43351	LSM-6789	1
BRD-K65997856	BRD-K65997856-001-01-7	LSM-43352	LSM-6844	1
BRD-K01060955	BRD-K01060955-001-01-1	LSM-43353	LSM-6872	1
BRD-K01162658	BRD-K01162658-001-01-5	LSM-43354	LSM-6874	1
BRD-K01651394	BRD-K01651394-001-01-6	LSM-43355	LSM-6883	1
BRD-K02806746	BRD-K02806746-001-01-0	LSM-43356	LSM-6898	1
BRD-K02882069	BRD-K02882069-001-01-0	LSM-43357	LSM-6899	1
BRD-K04798077	BRD-K04798077-001-01-6	LSM-43358	LSM-6923	1
BRD-K05570331	BRD-K05570331-001-01-0	LSM-43359	LSM-6932	1
BRD-K05625127	BRD-K05625127-001-01-0	LSM-43360	LSM-6933	1
BRD-K06884108	BRD-K06884108-001-01-5	LSM-43361	LSM-6945	1
BRD-K08110534	BRD-K08110534-001-01-7	LSM-43362	LSM-6961	1
BRD-K08828851	BRD-K08828851-001-01-9	LSM-43363	LSM-6967	1
BRD-K08942755	BRD-K08942755-001-01-5	LSM-43364	LSM-6969	1
BRD-K10771753	BRD-K10771753-001-01-6	LSM-43365	LSM-6991	1
BRD-K12796341	BRD-K12796341-001-01-0	LSM-43366	LSM-7019	1
BRD-K12913157	BRD-K12913157-001-01-4	LSM-43367	LSM-7022	1
BRD-K13365737	BRD-K13365737-001-01-5	LSM-43368	LSM-7029	1
BRD-K13848456	BRD-K13848456-001-01-9	LSM-43369	LSM-7035	1
BRD-K14408783	BRD-K14408783-001-01-5	LSM-43370	LSM-7046	1
BRD-K14518066	BRD-K14518066-001-01-9	LSM-43371	LSM-7048	1
BRD-K14990409	BRD-K14990409-001-01-6	LSM-43372	LSM-7054	1
BRD-K15502712	BRD-K15502712-001-01-0	LSM-43373	LSM-7055	1
BRD-K19554975	BRD-K19554975-001-01-9	LSM-43374	LSM-7102	1
BRD-K19724753	BRD-K19724753-001-01-6	LSM-43375	LSM-7105	1
BRD-K21980308	BRD-K21980308-001-01-0	LSM-43376	LSM-7132	1
BRD-K22576413	BRD-K22576413-001-01-7	LSM-43377	LSM-7142	1
BRD-K22801678	BRD-K22801678-001-01-9	LSM-43378	LSM-7146	1
BRD-K23713813	BRD-K23713813-001-01-1	LSM-43379	LSM-7159	1
BRD-K25290948	BRD-K25290948-001-01-6	LSM-43380	LSM-7170	1
BRD-K28394201	BRD-K28394201-001-01-5	LSM-43381	LSM-7211	1
BRD-K28397270	BRD-K28397270-001-01-4	LSM-43382	LSM-7212	1
BRD-K29060081	BRD-K29060081-001-01-6	LSM-43383	LSM-7221	1
BRD-K29974036	BRD-K29974036-001-01-4	LSM-43384	LSM-7235	1
BRD-K30174465	BRD-K30174465-001-01-8	LSM-43385	LSM-7237	1
BRD-K31439714	BRD-K31439714-001-01-3	LSM-43386	LSM-7256	1
BRD-K33593585	BRD-K33593585-001-01-1	LSM-43387	LSM-7280	1
