SM_LINCS_ID	SM_PubChemCID	SM_PubChem_SID
LSM-1556	23986045	85787527
LSM-1557	4826	85789034
LSM-1559	9893887	85788216
LSM-1560	5417	85789323
LSM-1561	3022645	85788172
LSM-1565	2264	85787806
LSM-1567	9795867	85787214
LSM-1568	3065	85788098
LSM-1569	4196	177748526
LSM-1571	44634699	85788054
LSM-1573	6708762	177748425
LSM-1580	4605	85788632
LSM-1581	1253	85787773
LSM-1583	3105	85787969
LSM-1584	6610321	85787751
LSM-1586	4308	85788106
LSM-1591	3579925	85787581
LSM-1595	11957586	85787449
LSM-1597	3449	85788107
LSM-1600	2763	85788082
LSM-1601	5191289	177748535
LSM-1602	45006167	177748814
LSM-1604	2837663	85788490
LSM-1606	3000667	85788429
LSM-1610	6605258	85787673
LSM-1613	12310313	177748532
LSM-1619	3392534	85787571
LSM-1621	6708584	85787096
LSM-1622	6916127	121269780
LSM-1623	1243	85787620
LSM-1624	160020	85787563
LSM-1626	68870	177748539
LSM-1628	10108190	177748826
LSM-1629	2505	85787565
LSM-1631	4574540	85788164
LSM-1634	441749	85788563
LSM-1637	45934210	177748784
LSM-1639	3066	85788600
LSM-1642	3489614	85788633
LSM-1650	2491	85789020
LSM-1650	2491	85788270
LSM-1653	23760717	85787749
LSM-1660	5023925	177748522
LSM-1661	6708582	85789132
LSM-1665	96946	85787480
LSM-1666	6307	85787548
LSM-1668	44483336	85789059
LSM-1669	2159	85789065
LSM-1670	5284353	85787925
LSM-1672	6324671	177748793
LSM-1674	23789069	85788401
LSM-1677	60703	85788692
LSM-1682	1203	85787343
LSM-1683	3906894	85789049
LSM-1685	71781	85788118
LSM-1686	72124	85789017
LSM-1688	1236	85788541
LSM-1692	2512	85788720
LSM-1693	5072	85789033
LSM-1694	46740	85787640
LSM-1695	4140	85788101
LSM-1696	4701	85788142
LSM-1697	6713978	85787471
LSM-1698	46916324	177749122
LSM-1702	1241	85788671
LSM-1703	2909	85787592
LSM-1705	1585	85788677
LSM-1708	2253	85788637
LSM-1709	23897	85787545
LSM-1713	100018	85844450
LSM-1714	108094	85788141
LSM-1715	108182	85788160
LSM-1717	6714009	85788045
LSM-1719	23874513	85788077
LSM-1720	124846	85788608
LSM-1722	68602	85789061
LSM-1726	4452	85789047
LSM-1727	131414	85787567
LSM-1728	5320716	85789211
LSM-1731	3085107	85788657
LSM-1732	5271544	85788515
LSM-1739	2956	85788215
LSM-1745	22565	177748797
LSM-1746	2443	177748569
LSM-1747	133002	85788616
LSM-1748	11689583	85788176
LSM-1750	32170	85788560
LSM-1753	3441	85787539
LSM-1754	5290	85787128
LSM-1755	3408722	85789022
LSM-1758	5052	85788224
LSM-1759	2829693	85787114
LSM-1761	60910	85788177
LSM-1765	44483340	85789079
LSM-1768	5320556	177748825
LSM-1769	5468	85788872
LSM-1771	3250	85788032
LSM-1772	54706480	85844451
LSM-1773	16667705	177748782
LSM-1775	3493	85788962
LSM-1776	45006140	177748833
LSM-1778	3783	85789348
LSM-1780	861	85787420
LSM-1782	5282593	85787866
LSM-1790	9918908	85787666
