SM_LINCS_ID	SM_CENTER_COMPOUND_ID	IDsort
LSM-1106	HMSL10106	1106
LSM-1107	HMSL10107	1107
LSM-1107	CGC00003467	1107
LSM-1107	BRD-K60230970	1107
LSM-1108	BRD-K11528507	1108
LSM-1108	CGC00003462	1108
LSM-1108	HMSL10108	1108
LSM-1109	HMSL10109	1109
LSM-1110	HMSL10110	1110
LSM-1110	BRD-K68756823	1110
LSM-1111	HMSL10111	1111
LSM-1111	BRD-K94176593	1111
LSM-1112	HMSL10112	1112
LSM-1113	HMSL10113	1113
LSM-1114	HMSL10114	1114
LSM-1114	BRD-K74514084	1114
LSM-1115	HMSL10115	1115
LSM-1115	BRD-K04853698	1115
LSM-1116	HMSL10116	1116
LSM-1117	HMSL10117	1117
LSM-1118	HMSL10118	1118
LSM-1118	BRD-K66538826	1118
LSM-1119	HMSL10119	1119
LSM-1119	BRD-K02965346	1119
LSM-1120	BRD-K50168500	1120
LSM-1120	HMSL10120	1120
LSM-1121	BRD-K37720887	1121
LSM-1121	HMSL10121	1121
LSM-1122	HMSL10122	1122
LSM-1123	HMSL10123	1123
LSM-1124	HMSL10124	1124
LSM-1125	BRD-K95435023	1125
LSM-1125	HMSL10125	1125
LSM-1126	BRD-K67868012	1126
LSM-1126	HMSL10126	1126
LSM-1127	HMSL10127	1127
LSM-1127	BRD-K85402309	1127
LSM-1128	HMSL10128	1128
LSM-1129	HMSL10129	1129
LSM-1130	BRD-K71035033	1130
LSM-1130	HMSL10130	1130
LSM-1131	BRD-K33379087	1131
LSM-1131	HMSL10131	1131
LSM-1132	HMSL10132	1132
LSM-1133	BRD-A58767537	1133
LSM-1134	HMSL10134	1134
LSM-1134	BRD-K04833372	1134
LSM-1135	HMSL10135	1135
LSM-1136	HMSL10136	1136
LSM-1136	BRD-K51575138	1136
LSM-1137	HMSL10137	1137
LSM-1139	HMSL10138	1139
LSM-1139	BRD-K53972329	1139
LSM-1140	HMSL10139	1140
LSM-1141	HMSL10140	1141
LSM-1142	BRD-K12502280	1142
LSM-1142	HMSL10141	1142
LSM-1143	HMSL10142	1143
LSM-1144	HMSL10143	1144
