CL_LINCS_ID	CL_Name	CL_Alternate_Name	CL_Provider_Catalog_ID
LCL-1116	DERL-2	DERL-2	ACC 531
LCL-1117	KARPAS-299	KARPAS-299	ACC 31
LCL-1118	CTB-1	CTB-1	COSMIC ID:949088
LCL-1119	DB	DB	CRL-2289
LCL-1120	KARPAS-422	KARPAS-422	ACC 32
LCL-1121	OCI-LY-19	OCI-LY-19	ACC 528
LCL-1122	Pfeiffer	Pfeiffer	CRL-2632
LCL-1123	REC-1	REC-1	ACC 584
LCL-1124	Toledo	Toledo	CRL-2631
LCL-1125	U-937	U-937	CRL-1593.2
LCL-1126	GRANTA-519	GRANTA-519	ACC 342
LCL-1127	NK-92MI	NK-92MI	CRL-2408
LCL-1128	SCC-3	SCC-3	JCRB0115
LCL-1129	SR	SR	CRL-2262
LCL-1130	CI-1	CI-1	ACC 570
LCL-1131	Farage	Farage	CRL-2630
LCL-1132	NU-DUL-1	NU-DUL-1	ACC 579
LCL-1133	RL	RL	CRL-2261
LCL-1134	SU-DHL-10	SU-DHL-10	ACC 576
LCL-1135	SU-DHL-16	SU-DHL-16	ACC 577
LCL-1136	SU-DHL-4	SU-DHL-4	ACC 495
LCL-1137	SU-DHL-5	SU-DHL-5	ACC 571
LCL-1138	SU-DHL-6	SU-DHL-6	ACC 572
LCL-1139	SU-DHL-8	SU-DHL-8	ACC 573
LCL-1140	MHH-PREB-1	MHH-PREB-1	ACC 354
LCL-1141	HH	HH	CRL-2105
LCL-1142	MJ	MJ	CRL-8294
LCL-1143	DOHH-2	DOHH-2	COSMIC ID:906842
LCL-1144	H9	H9	COSMIC ID:907043
LCL-1145	22RV1	22RV1	CRL-2505
LCL-1146	DU 145	DU 145	HTB-81
LCL-1147	VCaP	VCaP	CRL-2876
LCL-1148	SCH	SCH	JCRB0251
LCL-1149	A3/KAW	A3/KAW	JCRB0101
LCL-1150	HUTU-80	HUTU-80	COSMIC ID:907073
LCL-1151	EC-GI-10	EC-GI-10	COSMIC ID:753555
LCL-1152	SW962	SW962	COSMIC ID:909758; ATCC HTB-118
LCL-1153	NCI-H727	NCI-H727	CRL-5815
LCL-1154	UMC-11	UMC-11	CRL-5975
LCL-1155	NCI-H720	NCI-H720	CRL-5838
LCL-1156	C170	C170	97071507
LCL-1157	SW620	SW620	CCL-227
LCL-1158	COLO 741	COLO 741	93052621
LCL-1159	COLO-206F	COLO-206F	ACC 21
LCL-1160	COLO-678	COLO-678	ACC 194
LCL-1161	HCT 116	HCT 116	91091005
LCL-1162	HT115	HT115	85061104
LCL-1163	HT55	HT55	85061105
LCL-1164	MDST8	MDST8	99011801
LCL-1165	OUMS-23	OUMS-23	JCRB1022
LCL-1166	T84	T84	88021101
LCL-1167	CL-11	CL-11	ACC 467
LCL-1168	RKO	RKO	COSMIC ID:909698
LCL-1169	WiDr	WiDr	85111501
LCL-1170	Caco-2	Caco-2	HTB-37
LCL-1171	CCK-81	CCK-81	JCRB0208
LCL-1172	COLO 201	COLO 201	87091201
LCL-1173	COLO 205	COLO 205	87061208
LCL-1174	COLO-320	COLO-320	ACC 144
LCL-1175	DLD-1	DLD-1	CCL-221
LCL-1176	GP5d	GP5d	95090715
LCL-1177	HCC-56	HCC-56	JCRB1037
LCL-1178	HCT-15	HCT-15	CCL-225
LCL-1179	Hs 257.T	Hs 257.T	CRL-7214
LCL-1180	HT-29	HT-29	HTB-38
LCL-1181	LoVo	LoVo	CCL-229
LCL-1182	LS174T	LS174T	87060401
LCL-1183	LS180	LS180	87021202
LCL-1184	SK-CO-1	SK-CO-1	HTB-39
LCL-1185	SW 1417	SW 1417	90102543
LCL-1186	SW 48	SW 48	89012702
LCL-1187	SW-948	SW-948	CCL-237
LCL-1188	Gp2D	Gp2D	95090714; COSMIC ID:907292
LCL-1189	COLO-320-HSR	COLO-320-HSR	COSMIC ID:910569
LCL-1190	CW-2	CW-2	COSMIC ID:910554
LCL-1191	HCC2998	HCC2998	COSMIC ID:905971
LCL-1192	KM12	KM12	COSMIC ID:905989
LCL-1193	LS-123	LS-123	COSMIC ID:907792
LCL-1194	SNU-C1	SNU-C1	COSMIC ID:910905
LCL-1195	SW403	SW403	COSMIC ID:910908
LCL-1196	CoCM-1	CoCM-1	JCRB0257
LCL-1197	COLO 320DM	COLO 320DM	CCL-220
LCL-1198	HCT-8	HCT-8	90032006
LCL-1199	CL-40	CL-40	ACC 535
LCL-1200	SW 1116	SW 1116	87071006
LCL-1201	FaDu	FaDu	HTB-43
LCL-1202	HO-1-u-1	HO-1-u-1	JCRB0828
LCL-1203	BICR 10	BICR 10	4072103
LCL-1204	HO-1-N-1	HO-1-N-1	JCRB0831
LCL-1205	BICR 78	BICR 78	4072111
LCL-1206	HSC-2	HSC-2	JCRB0622
LCL-1207	KON	KON	JCRB0194
LCL-1208	BHY	BHY	ACC 404
LCL-1209	HN	HN	ACC 417
LCL-1210	SAT	SAT	JCRB1027
LCL-1211	SKN-3	SKN-3	JCRB1039
LCL-1212	PE/CA-PJ15	PE/CA-PJ15	96121230
LCL-1213	BICR 22	BICR 22	4072106
LCL-1214	BICR 31	BICR 31	4072107
LCL-1215	CAL 27	CAL 27	CRL-2095
LCL-1216	CAL-33	CAL-33	ACC 447
LCL-1217	HSC-3	HSC-3	JCRB0623
LCL-1218	HSC-4	HSC-4	JCRB0624
LCL-1219	OSC-19	OSC-19	JCRB0198
LCL-1220	OSC-20	OSC-20	JCRB0197
LCL-1221	SAS	SAS	JCRB0260
LCL-1222	SCC-15	SCC-15	CRL-1623
LCL-1223	SCC-25	SCC-25	CRL-1628
LCL-1224	SCC-4	SCC-4	CRL-1624
LCL-1225	SCC-9	SCC-9	CRL-1629
LCL-1226	Detroit 562	Detroit 562	87042205
LCL-1227	KOSC-2 cl3-43	KOSC-2 cl3-43	JCRB0126.1
LCL-1228	IST-MES1	IST-MES1	COSMIC ID:907173
LCL-1229	MPP-89	MPP-89	COSMIC ID:908150
LCL-1230	NCI-H2452	NCI-H2452	CRL-5946
LCL-1231	A375.S2	A375.S2	CRL-1872
LCL-1232	COLO-679	COLO-679	ACC 264
LCL-1233	COLO-800	COLO-800	ACC 193
LCL-1234	IST-MEL1	IST-MEL1	COSMIC ID:907172
LCL-1235	A-375	A-375	CRL-1619
LCL-1236	1205Lu	1205Lu	CRL-2812
LCL-1237	A2058	A2058	CRL-11147
LCL-1238	C32	C32	CRL-1585
LCL-1239	COLO 792	COLO 792	93052616
LCL-1240	COLO 853	COLO 853	93052606
LCL-1241	COLO 857	COLO 857	93051120
LCL-1242	COLO 858	COLO 858	93052613
LCL-1243	COLO-783	COLO-783	ACC 257
LCL-1244	COLO-818	COLO-818	ACC 81
LCL-1245	COLO-849	COLO-849	ACC 216
LCL-1246	G-361	G-361	CRL-1424
LCL-1247	IGR-1	IGR-1	ACC 236
LCL-1248	IGR-37	IGR-37	ACC 237
LCL-1249	IGR-39	IGR-39	ACC 239
LCL-1250	IPC-298	IPC-298	ACC 251
LCL-1251	MEL-HO	MEL-HO	ACC 62
LCL-1252	MEL-JUSO	MEL-JUSO	ACC 74
LCL-1253	MEWO	MEWO	93082609
LCL-1254	RPMI-7951	RPMI-7951	HTB-66
LCL-1255	RVH-421	RVH-421	ACC 127
LCL-1256	SK-MEL-2	SK-MEL-2	HTB-68
LCL-1257	SK-MEL-30	SK-MEL-30	ACC 151
LCL-1258	VMRC-MELG	VMRC-MELG	JCRB0074
LCL-1259	WM 266-4	WM 266-4	91061233
LCL-1260	WM-115	WM-115	CRL-1675
LCL-1261	WM1552C	WM1552C	CRL-2808
LCL-1262	WM278	WM278	CRL-2809
LCL-1263	WM35	WM35	CRL-2807
LCL-1264	WM793B	WM793B	CRL-2806
LCL-1265	SK-MEL-1	SK-MEL-1	HTB-67
LCL-1266	SK-MEL-3	SK-MEL-3	HTB-69
LCL-1267	A101D	A101D	COSMIC ID:910921; ATCC CRL-7898
LCL-1268	A4-Fuk	A4-Fuk	COSMIC ID:910934
LCL-1269	COLO-829	COLO-829	COSMIC ID:687448
LCL-1270	CP50-MEL-B	CP50-MEL-B	COSMIC ID:753545
LCL-1271	CP66-MEL	CP66-MEL	COSMIC ID:753546
LCL-1272	GAK	GAK	COSMIC ID:910932
LCL-1273	HT-144	HT-144	COSMIC ID:907067; ATCC HTB-63
LCL-1274	LB2518-MEL	LB2518-MEL	COSMIC ID:753579
LCL-1275	LB373-MEL-D	LB373-MEL-D	COSMIC ID:753581
LCL-1276	LOXIMVI	LOXIMVI	COSMIC ID:905974
LCL-1277	MMAC-SF	MMAC-SF	COSMIC ID:925339; Riken RCB1200
LCL-1278	MZ2-MEL	MZ2-MEL	COSMIC ID:971777
LCL-1279	MZ7-mel	MZ7-mel	COSMIC ID:753596
LCL-1280	SH-4	SH-4	COSMIC ID:909713
LCL-1281	SK-MEL-24	SK-MEL-24	COSMIC ID:909725; ATCC HTB-71
LCL-1282	SK-MEL-5	SK-MEL-5	COSMIC ID:905956
LCL-1283	UACC-257	UACC-257	COSMIC ID:905977
LCL-1284	A373-C6	A373-C6	97011321
LCL-1285	HMVII	HMVII	92042701
LCL-1286	SK-LMS-1	SK-LMS-1	COSMIC ID:909720; ATCC HTB-88
LCL-1287	NCI-H630	NCI-H630	CRL-5833
LCL-1288	CaR-1	CaR-1	JCRB0207
LCL-1289	HRT-18	HRT-18	86040306
LCL-1290	RCM-1	RCM-1	JCRB0256
LCL-1291	SW 1463	SW 1463	90112713
LCL-1292	SW837	SW837	CCL-235
LCL-1293	BeWo	BeWo	CCL-98
LCL-1294	CAL-39	CAL-39	ACC 187
LCL-1295	SW954	SW954	COSMIC ID:924247; ATCC HTB-117
LCL-1296	C2BBe1	C2BBe1	CRL-2102
LCL-1297	KGN	KGN	COSMIC ID:924186
LCL-1298	LNCaP	LNCaP	CRL-1740
LCL-1299	PC-3	PC-3	CRL-1435
LCL-1300	C-33 A	C-33 A	HTB-31
LCL-1301	C-4 I	C-4 I	CRL-1594
LCL-1302	C-4 II	C-4 II	CRL-1595
LCL-1303	DoTc2 4510	DoTc2 4510	CRL-7920
LCL-1304	HT-3	HT-3	HTB-32
LCL-1305	ME-180	ME-180	HTB-33
LCL-1306	MS751	MS751	HTB-34
LCL-1307	MDA-MB-435S	MDA-MB-435S	HTB-129
LCL-1308	BT-474	BT-474	HTB-20
LCL-1309	BT-483	BT-483	HTB-121
LCL-1310	BT-549	BT-549	HTB-122
LCL-1311	EFM-19	EFM-19	ACC 231
LCL-1312	EFM-192B	EFM-192B	ACC 308
LCL-1313	EVSA-T	EVSA-T	ACC 433
LCL-1314	HCC1419	HCC1419	CRL-2326
LCL-1315	Hs 578T	Hs 578T	HTB-126
LCL-1316	MDA-MB-134-VI	MDA-MB-134-VI	HTB-23
LCL-1317	MDA-MB-175-VII	MDA-MB-175-VII	HTB-25
LCL-1318	MFM-223	MFM-223	ACC 422
LCL-1319	UACC-812	UACC-812	CRL-1897
LCL-1320	UACC-893	UACC-893	CRL-1902
LCL-1321	ZR-75-1	ZR-75-1	CRL-1500
LCL-1322	ZR-75-30	ZR-75-30	CRL-1504
LCL-1323	DU4475	DU4475	HTB-123
LCL-1324	HCC1187	HCC1187	CRL-2322
LCL-1325	HCC1500	HCC1500	CRL-2329
LCL-1326	HCC1599	HCC1599	CRL-2331
LCL-1327	HCC2157	HCC2157	CRL-2340
LCL-1328	HCC2218	HCC2218	CRL-2343
LCL-1329	HCC1143	HCC1143	CRL-2321
LCL-1330	HCC1395	HCC1395	CRL-2324
LCL-1331	HCC1937	HCC1937	CRL-2336
LCL-1332	HCC1954	HCC1954	CRL-2338
LCL-1333	HCC202	HCC202	CRL-2316
LCL-1334	HCC38	HCC38	CRL-2314
LCL-1335	HCC70	HCC70	CRL-2315
LCL-1336	LS-1034	LS-1034	COSMIC ID:917486
LCL-1337	LS-411N	LS-411N	COSMIC ID:907794
LCL-1338	LS-513	LS-513	COSMIC ID:907795
LCL-1339	NCI-H716	NCI-H716	COSMIC ID:908458
LCL-1340	NCI-H747	NCI-H747	COSMIC ID:908457
LCL-1341	SNU-C2B	SNU-C2B	COSMIC ID:909740
LCL-1342	A388	A388	COSMIC ID:910697; ATCC CRL-7905
LCL-1343	TGBC1TKB	TGBC1TKB	COSMIC ID:909769
LCL-1344	TGBC24TKB	TGBC24TKB	COSMIC ID:910695
LCL-1345	LNZTA3WT4	LNZTA3WT4	CRL-11543
LCL-1346	SNB75	SNB75	COSMIC ID:905982
LCL-1347	42-MG-BA	42-MG-BA	ACC 431
LCL-1348	A172	A172	CRL-1620
LCL-1349	DBTRG-05MG	DBTRG-05MG	CRL-2020
LCL-1350	DK-MG	DK-MG	ACC 277
LCL-1351	GAMG	GAMG	ACC 242
LCL-1352	GMS-10	GMS-10	ACC 405
LCL-1353	LN-18	LN-18	CRL-2610
LCL-1354	LN-229	LN-229	CRL-2611
LCL-1355	LNZTA3WT11	LNZTA3WT11	CRL-11544
LCL-1356	M059J	M059J	CRL-2366
LCL-1357	T98G	T98G	CRL-1690
LCL-1358	U-118 MG	U-118 MG	HTB-15
LCL-1359	U-138 MG	U-138 MG	HTB-16
LCL-1360	U373 MG	U373 MG	89081403
LCL-1361	YKG-1	YKG-1	JCRB0746
LCL-1362	M059K	M059K	CRL-2365
LCL-1363	SNB-19	SNB-19	ACC 325
LCL-1364	U-87 MG	U-87 MG	HTB-14
LCL-1365	8-MG-BA	8-MG-BA	COSMIC ID:687562
LCL-1366	AM-38	AM-38	COSMIC ID:910933
LCL-1367	B2-17	B2-17	COSMIC ID:911904
LCL-1368	Becker	Becker	COSMIC ID:906746
LCL-1369	CAS-1	CAS-1	COSMIC ID:910943
LCL-1370	D-247MG	D-247MG	COSMIC ID:946367
LCL-1371	D-263MG	D-263MG	COSMIC ID:946368
LCL-1372	D-336MG	D-336MG	COSMIC ID:946369
LCL-1373	D-392MG	D-392MG	COSMIC ID:946370
LCL-1374	D-423MG	D-423MG	COSMIC ID:946372
LCL-1375	D-502MG	D-502MG	COSMIC ID:946373
LCL-1376	D-542MG	D-542MG	COSMIC ID:753549
LCL-1377	D-566MG	D-566MG	COSMIC ID:946377
LCL-1378	GB-1	GB-1	COSMIC ID:687568
LCL-1379	GI-1	GI-1	COSMIC ID:906871
LCL-1380	KALS-1	KALS-1	COSMIC ID:907271
LCL-1381	KINGS-1	KINGS-1	COSMIC ID:907279
LCL-1382	KNS-42	KNS-42	COSMIC ID:907282
LCL-1383	KNS-81-FD	KNS-81-FD	COSMIC ID:924188
LCL-1384	KS-1	KS-1	COSMIC ID:907313
LCL-1385	NMC-G1	NMC-G1	COSMIC ID:908449
LCL-1386	no-10	no-10	COSMIC ID:908452
LCL-1387	no-11	no-11	COSMIC ID:908450
LCL-1388	SF126	SF126	COSMIC ID:909712
LCL-1389	SF268	SF268	COSMIC ID:905986
LCL-1390	SF539	SF539	COSMIC ID:905984
LCL-1391	SK-MG-1	SK-MG-1	COSMIC ID:909729
LCL-1392	YH-13	YH-13	COSMIC ID:909905
LCL-1393	1321N1	1321N1	86030402
LCL-1394	CCF-STTG1	CCF-STTG1	CRL-1718
LCL-1395	LN-405	LN-405	ACC 189
LCL-1396	MOG-G-CCM	MOG-G-CCM	86022702
LCL-1397	MOG-G-UVW	MOG-G-UVW	86022703
LCL-1398	SW 1088	SW 1088	HTB-12
LCL-1399	SW 1783	SW 1783	HTB-13
LCL-1400	U-251 MG	U-251 MG	IFO50288
LCL-1401	H4	H4	HTB-148
LCL-1402	Hs 683	Hs 683	HTB-138
LCL-1403	SCCH-196	SCCH-196	JCRB0108
LCL-1404	A431	A431	85090402
LCL-1405	DJM-1	DJM-1	COSMIC ID:906841
LCL-1406	GOS-3	GOS-3	ACC 408
LCL-1407	PFSK-1	PFSK-1	CRL-2060
LCL-1408	SJCRH30	SJCRH30	CRL-2061
LCL-1409	A-204	A-204	HTB-82
LCL-1410	A673	A673	85111504
LCL-1411	RD	RD	CCL-136
LCL-1412	KYM-1	KYM-1	JCRB0627
LCL-1413	TE-441-T	TE-441-T	COSMIC ID:924248; ATCC CRL-7767
LCL-1414	RH-30	RH-30	ACC 489
LCL-1415	RH-41	RH-41	ACC 592
LCL-1416	PA-1	PA-1	CRL-1572
LCL-1417	143B	143B	CRL-8303
LCL-1418	143B PML BK TK	143B PML BK TK	CRL-8304
LCL-1419	CAL-72	CAL-72	ACC 439
