CL_LINCS_ID	CL_Name	CL_Alternate_Name	CL_Provider_Catalog_ID
LCL-1514	SISO	SISO	ACC 327
LCL-1515	EFO-21	EFO-21	ACC 235
LCL-1516	OC-314	OC-314	COSMIC ID:909257
LCL-1517	SK-OV-3	SK-OV-3	91091004
LCL-1518	A2780	A2780	93112519
LCL-1519	Caov-3	Caov-3	HTB-75
LCL-1520	Caov-4	Caov-4	HTB-76
LCL-1521	EFO-27	EFO-27	ACC 191
LCL-1522	NIH:OVCAR-3	NIH:OVCAR-3	HTB-161
LCL-1523	OV-90	OV-90	CRL-11732
LCL-1524	OVISE	OVISE	JCRB1043
LCL-1525	OVKATE	OVKATE	JCRB1044
LCL-1526	OVMIU	OVMIU	JCRB1049
LCL-1527	OVSAYO	OVSAYO	JCRB1047
LCL-1528	OVTOKO	OVTOKO	JCRB1048
LCL-1529	SW 626	SW 626	HTB-78
LCL-1530	TOV-21G	TOV-21G	CRL-11730
LCL-1531	COLO-704	COLO-704	ACC 198
LCL-1532	23132/87	23132/87	ACC 201
LCL-1533	AZ-521	AZ-521	JCRB0061
LCL-1534	IM-95m	IM-95m	JCRB1075.1
LCL-1535	MKN45	MKN45	JCRB0254
LCL-1536	MKN74	MKN74	JCRB0255
LCL-1537	RERF-GC-1B	RERF-GC-1B	JCRB1009
LCL-1538	MC/CAR	MC/CAR	CRL-8083
LCL-1539	AMO-1	AMO-1	ACC 538
LCL-1540	SCaBER	SCaBER	HTB-3
LCL-1541	Ca Ski	Ca Ski	87020501
LCL-1542	SiHa	SiHa	HTB-35
LCL-1543	SKG-IIIb	SKG-IIIb	JCRB0232.1
LCL-1544	SW756	SW756	CRL-10302
LCL-1545	BOKU	BOKU	COSMIC ID:753536
LCL-1546	OMC-1	OMC-1	COSMIC ID:949154
LCL-1547	KYSE-140	KYSE-140	ACC 348
LCL-1548	KYSE-150	KYSE-150	ACC 375
LCL-1549	KYSE-180	KYSE-180	ACC 379
LCL-1550	KYSE-450	KYSE-450	ACC 387
LCL-1551	COLO-680N	COLO-680N	ACC 182
LCL-1552	KYSE-270	KYSE-270	ACC 380
LCL-1553	KYSE-30	KYSE-30	ACC 351
LCL-1554	KYSE-410	KYSE-410	ACC 381
LCL-1555	KYSE-510	KYSE-510	ACC 374
LCL-1556	KYSE-520	KYSE-520	ACC 371
LCL-1557	KYSE-70	KYSE-70	ACC 363
LCL-1558	OE21	OE21	96062201
LCL-1559	KYSE-220	KYSE-220	JCRB1086
LCL-1560	KYSE-50	KYSE-50	JCRB0189
LCL-1561	T.T	T.T	JCRB0262
LCL-1562	T.Tn	T.Tn	JCRB0261
LCL-1563	HCE-4	HCE-4	COSMIC ID:753559
LCL-1564	TE-1	TE-1	COSMIC ID:753621
LCL-1565	TE-10	TE-10	COSMIC ID:753622
LCL-1566	TE-11	TE-11	COSMIC ID:946354
LCL-1567	TE-12	TE-12	COSMIC ID:946356
LCL-1568	TE-15	TE-15	COSMIC ID:753614
LCL-1569	TE-5	TE-5	COSMIC ID:735784
LCL-1570	TE-6	TE-6	COSMIC ID:946355
LCL-1571	TE-8	TE-8	COSMIC ID:753623
LCL-1572	TE-9	TE-9	COSMIC ID:946353
LCL-1573	BB30-HNC	BB30-HNC	COSMIC ID:753531
LCL-1574	BB49-HNC	BB49-HNC	COSMIC ID:753532
LCL-1575	LB771-HNC	LB771-HNC	COSMIC ID:753583
LCL-1576	Daoy	Daoy	HTB-186
LCL-1577	D283 Med	D283 Med	HTB-185
LCL-1578	ONS-76	ONS-76	COSMIC ID:909248
LCL-1579	ChaGo-K-1	ChaGo-K-1	HTB-168
LCL-1580	Calu-1	Calu-1	HTB-54
LCL-1581	EPLC-272H	EPLC-272H	ACC 383
LCL-1582	NCI-H1703	NCI-H1703	CRL-5889
LCL-1583	SK-MES	SK-MES	HTB-58
LCL-1584	EBC-1	EBC-1	JCRB0820
LCL-1585	HARA	HARA	JCRB1080.0
LCL-1586	LC-1 sq	LC-1 sq	JCRB0258
LCL-1587	LK-2	LK-2	JCRB0829
LCL-1588	LOU-NH91	LOU-NH91	ACC 393
LCL-1589	LUDLU-1	LUDLU-1	92012463
LCL-1590	NCI-H2170	NCI-H2170	CRL-5928
LCL-1591	NCI-H520	NCI-H520	HTB-182
LCL-1592	RERF-LC-Sq1	RERF-LC-Sq1	JCRB1019
LCL-1593	SW 900	SW 900	HTB-59
LCL-1594	VMRC-LCP	VMRC-LCP	JCRB0103
LCL-1595	LC-1F	LC-1F	COSMIC ID:907785
LCL-1596	NCI-H157	NCI-H157	COSMIC ID:911847
LCL-1597	NCI-H226	NCI-H226	CRL-5826
LCL-1598	NCI-H1915	NCI-H1915	CRL-5904
LCL-1599	NCI-H2023	NCI-H2023	CRL-5912
LCL-1600	A-427	A-427	HTB-53
LCL-1601	A549	A549	CCL-185
LCL-1602	BEN	BEN	ACC 254
LCL-1603	CAL-12T	CAL-12T	ACC 443
LCL-1604	HCC-15	HCC-15	ACC 496
LCL-1605	HCC-366	HCC-366	ACC 492
LCL-1606	HCC-44	HCC-44	ACC 534
LCL-1607	HCC-78	HCC-78	ACC 563
LCL-1608	HCC-827	HCC-827	ACC 566
LCL-1609	NCI-H1299	NCI-H1299	CRL-5803
LCL-1610	NCI-H1435	NCI-H1435	CRL-5870
LCL-1611	NCI-H1568	NCI-H1568	CRL-5876
LCL-1612	NCI-H1650	NCI-H1650	CRL-5883
LCL-1613	NCI-H1869	NCI-H1869	CRL-5900
LCL-1614	NCI-H1944	NCI-H1944	CRL-5907
LCL-1615	NCI-H2085	NCI-H2085	CRL-5921
LCL-1616	NCI-H2110	NCI-H2110	CRL-5924
LCL-1617	NCI-H2135	NCI-H2135	CRL-5926
LCL-1618	NCI-H2172	NCI-H2172	CRL-5930
LCL-1619	NCI-H23	NCI-H23	CRL-5800
LCL-1620	NCI-H2347	NCI-H2347	CRL-5942
LCL-1621	NCI-H2444	NCI-H2444	CRL-5945
LCL-1622	NCI-H522	NCI-H522	CRL-5810
LCL-1623	NCI-H838	NCI-H838	CRL-5844
LCL-1624	NCI-H1385	NCI-H1385	CRL-5867
LCL-1625	NCI-H1770	NCI-H1770	CRL-5893
LCL-1626	Calu-6	Calu-6	COSMIC ID:724859
LCL-1627	NCI-H2126	NCI-H2126	COSMIC ID:687814
LCL-1628	NCI-H1155	NCI-H1155	CRL-5818
LCL-1629	NCI-H647	NCI-H647	CRL-5834
LCL-1630	PC-9	PC-9	MGH-889
LCL-1631	Calu-3	Calu-3	HTB-55
LCL-1632	NCI-H1648	NCI-H1648	CRL-5882
LCL-1633	NCI-H1651	NCI-H1651	CRL-5884
LCL-1634	ABC-1	ABC-1	JCRB0815
LCL-1635	COR-L 105	COR-L 105	92031918
LCL-1636	DV-90	DV-90	ACC 307
LCL-1637	NCI-H1437	NCI-H1437	CRL-5872
LCL-1638	NCI-H1573	NCI-H1573	CRL-5877
LCL-1639	NCI-H1623	NCI-H1623	CRL-5881
LCL-1640	NCI-H1693	NCI-H1693	CRL-5887
LCL-1641	NCI-H1734	NCI-H1734	CRL-5891
LCL-1642	NCI-H1755	NCI-H1755	CRL-5892
LCL-1643	NCI-H1781	NCI-H1781	CRL-5894
LCL-1644	NCI-H1792	NCI-H1792	CRL-5895
LCL-1645	NCI-H1793	NCI-H1793	CRL-5896
LCL-1646	NCI-H1993	NCI-H1993	CRL-5909
LCL-1647	NCI-H2009	NCI-H2009	CRL-5911
LCL-1648	NCI-H2030	NCI-H2030	CRL-5914
LCL-1649	NCI-H2073	NCI-H2073	CRL-5918
LCL-1650	NCI-H2087	NCI-H2087	CRL-5922
LCL-1651	NCI-H2122	NCI-H2122	CRL-5985
LCL-1652	NCI-H2228	NCI-H2228	CRL-5935
LCL-1653	NCI-H2291	NCI-H2291	CRL-5939
LCL-1654	NCI-H2342	NCI-H2342	CRL-5941
LCL-1655	NCI-H2405	NCI-H2405	CRL-5944
LCL-1656	PC-14	PC-14	90071810
LCL-1657	RERF-LC-Ad1	RERF-LC-Ad1	JCRB1020
LCL-1658	RERF-LC-KJ	RERF-LC-KJ	JCRB0137
LCL-1659	SK-LU-1	SK-LU-1	93120835
LCL-1660	NCI-H1395	NCI-H1395	CRL-5868
LCL-1661	NCI-H1563	NCI-H1563	CRL-5875
LCL-1662	NCI-H1838	NCI-H1838	CRL-5899
LCL-1663	NCI-H1975	NCI-H1975	CRL-5908
LCL-1664	PC-3 [JPC-3]	PC-3 [JPC-3]	JCRB0077
LCL-1665	RERF-LC-MS	RERF-LC-MS	JCRB0081
LCL-1666	HOP-62	HOP-62	COSMIC ID:905972
LCL-1667	LC-2-ad	LC-2-ad	COSMIC ID:907786
LCL-1668	LXF-289	LXF-289	COSMIC ID:753592
LCL-1669	NCI-H1355	NCI-H1355	COSMIC ID:724866
LCL-1670	NCI-H810	NCI-H810	CRL-5816
LCL-1671	NCI-H358	NCI-H358	CRL-5807
LCL-1672	NCI-H650	NCI-H650	CRL-5835
LCL-1673	NCI-H1666	NCI-H1666	CRL-5885
LCL-1674	NCI-H322M	NCI-H322M	COSMIC ID:905967
LCL-1675	NCI-H3122	NCI-H3122	n/a-1
LCL-1676	SW 13	SW 13	87031801
LCL-1677	FTC-133	FTC-133	94060901
LCL-1678	FTC-238	FTC-238	94060902
LCL-1679	ML-1	ML-1	ACC 464
LCL-1680	RO82-W-1	RO82-W-1	92030502
LCL-1681	TT2609-C02	TT2609-C02	ACC 510
LCL-1682	ASH-3	ASH-3	JCRB1073
LCL-1683	CAL-62	CAL-62	ACC 448
LCL-1684	KMH-2	KMH-2	JCRB1066
LCL-1685	8305C	8305C	ACC 133
LCL-1686	8505C	8505C	ACC 219
LCL-1687	B-CPAP	B-CPAP	ACC 273
LCL-1688	BHT-101	BHT-101	ACC 279
LCL-1689	HTC-C3	HTC-C3	ACC 580
LCL-1690	TT	TT	COSMIC ID:930299; ATCC CRL-1803
LCL-1691	CGTH-W-1	CGTH-W-1	COSMIC ID:910568; DSMZ ACC 360
LCL-1692	K5	K5	COSMIC ID:924238
LCL-1693	IHH-4	IHH-4	JCRB1079
LCL-1694	A2780ADR	A2780ADR	93112520
LCL-1695	FU-OV-1	FU-OV-1	ACC 444
LCL-1696	A2780cis	A2780cis	93112517
LCL-1697	OVCAR-4	OVCAR-4	COSMIC ID:905990
LCL-1698	OAW28	OAW28	85101601
LCL-1699	OAW42	OAW42	85073102
LCL-1700	TYK-nu	TYK-nu	JCRB0234.0
LCL-1701	KURAMOCHI	KURAMOCHI	COSMIC ID:909975
LCL-1702	5637	5637	HTB-9
LCL-1703	1A6	1A6	CRL-2742
LCL-1704	EJ138	EJ138	85061108
LCL-1705	RT112/84	RT112/84	85061106
LCL-1706	DSH1	DSH1	COSMIC ID:753552
LCL-1707	LB831-BLC	LB831-BLC	COSMIC ID:753584
LCL-1708	647-V	647-V	ACC 414
LCL-1709	T24	T24	HTB-4
LCL-1710	BFTC-905	BFTC-905	ACC 361
LCL-1711	CAL-29	CAL-29	ACC 515
LCL-1712	HT 1376	HT 1376	87032402
LCL-1713	HT-1197	HT-1197	CRL-1473
LCL-1714	J82	J82	HTB-1
LCL-1715	KU-19-19	KU-19-19	ACC 395
LCL-1716	RT-112	RT-112	ACC 418
LCL-1717	RT4	RT4	91091914
LCL-1718	SW 780	SW 780	CRL-2169
LCL-1719	SW-1710	SW-1710	ACC 426
LCL-1720	TCCSUP	TCCSUP	HTB-5
LCL-1721	UM-UC-3	UM-UC-3	CRL-1749
LCL-1722	VM-CUB1	VM-CUB1	ACC 400
LCL-1723	KP-3	KP-3	JCRB0178.0
LCL-1724	KP-3L	KP-3L	JCRB0178.1
LCL-1725	KP-4	KP-4	JCRB0182
LCL-1726	PANC-1	PANC-1	CRL-1469
LCL-1727	PL45	PL45	CRL-2558
LCL-1728	KP-2	KP-2	JCRB0181
LCL-1729	SUIT-2	SUIT-2	JCRB1094
LCL-1730	AsPC-1	AsPC-1	CRL-1682
LCL-1731	BxPC-3	BxPC-3	CRL-1687
LCL-1732	Capan-1	Capan-1	HTB-79
LCL-1733	Capan-2	Capan-2	HTB-80
LCL-1734	DAN-G	DAN-G	ACC 249
LCL-1735	HPAC	HPAC	CRL-2119
LCL-1736	HPAF-II	HPAF-II	CRL-1997
LCL-1737	Hs 766T	Hs 766T	HTB-134
LCL-1738	MIA PaCa-2	MIA PaCa-2	CRL-1420
LCL-1739	Panc 02.03	Panc 02.03	CRL-2553
LCL-1740	Panc 03.27	Panc 03.27	CRL-2549
LCL-1741	Panc 04.03	Panc 04.03	CRL-2555
LCL-1742	Panc 08.13	Panc 08.13	CRL-2551
LCL-1743	Panc 10.05	Panc 10.05	CRL-2547
LCL-1744	PA-TU-8902	PA-TU-8902	ACC 179
LCL-1745	PA-TU-8988S	PA-TU-8988S	ACC 204
LCL-1746	PA-TU-8988T	PA-TU-8988T	ACC 162
LCL-1747	SU.86.86	SU.86.86	CRL-1837
LCL-1748	CFPAC-1	CFPAC-1	CRL-1918
LCL-1749	PSN1	PSN1	94060601; COSMIC ID:910546
LCL-1750	SW 1990	SW 1990	CRL-2172
LCL-1751	G-402	G-402	CRL-1440
LCL-1752	GCT	GCT	TIB-223
LCL-1753	MFH-ino	MFH-ino	COSMIC ID:925343
LCL-1754	QGP-1	QGP-1	JCRB0183
LCL-1755	KMRC-20	KMRC-20	JCRB1071
LCL-1756	ACHN	ACHN	CRL-1611
LCL-1757	CAL-54	CAL-54	ACC 365
LCL-1758	SW 156	SW 156	CRL-2175
LCL-1759	VMRC-RCW	VMRC-RCW	JCRB0813
LCL-1760	VMRC-RCZ	VMRC-RCZ	JCRB0827
LCL-1761	A498	A498	COSMIC ID:905948
LCL-1762	A704	A704	COSMIC ID:910920
LCL-1763	BB65-RCC	BB65-RCC	COSMIC ID:753533
LCL-1764	HA7-RCC	HA7-RCC	COSMIC ID:753558
LCL-1765	LB1047-RCC	LB1047-RCC	COSMIC ID:753577
LCL-1766	LB2241-RCC	LB2241-RCC	COSMIC ID:753578
LCL-1767	LB996-RCC	LB996-RCC	COSMIC ID:753585
LCL-1768	OS-RC-2	OS-RC-2	COSMIC ID:909250
LCL-1769	RCC10RGB	RCC10RGB	COSMIC ID:909974
LCL-1770	RXF393	RXF393	COSMIC ID:905978
LCL-1771	TK10	TK10	COSMIC ID:905980
LCL-1772	769-P	769-P	CRL-1933
LCL-1773	786-O	786-O	CRL-1932
LCL-1774	Caki-1	Caki-1	HTB-46
LCL-1775	KMRC-1	KMRC-1	JCRB1010
LCL-1776	MSTO-211H	MSTO-211H	CRL-2081
LCL-1777	S-117	S-117	ACC 266
LCL-1778	IA-LM	IA-LM	COSMIC ID:910779
LCL-1779	COR-L 23/CPR	COR-L 23/CPR	96042336
LCL-1780	COR-L23	COR-L23	92031919
LCL-1781	LCLC-103H	LCLC-103H	ACC 384
LCL-1782	LCLC-97TM1	LCLC-97TM1	ACC 388
LCL-1783	NCI-H1581	NCI-H1581	CRL-5878
LCL-1784	NCI-H460	NCI-H460	HTB-177
LCL-1785	NCI-H661	NCI-H661	HTB-183
LCL-1786	NCI-H596	NCI-H596	HTB-178
LCL-1787	EGI-1	EGI-1	ACC 385
LCL-1788	HuCCT1	HuCCT1	JCRB0425
LCL-1789	ETK-1	ETK-1	COSMIC ID:906861
LCL-1790	HUP-T3	HUP-T3	ACC 259
LCL-1791	HUP-T4	HUP-T4	ACC 223
LCL-1792	YAPC	YAPC	ACC 382
LCL-1793	KP-1N	KP-1N	JCRB0177.0
LCL-1794	KP-1NL	KP-1NL	JCRB0177.1
LCL-1795	MZ1-PC	MZ1-PC	COSMIC ID:753595
LCL-1796	OE19	OE19	96071721
LCL-1797	OE33	OE33	96070808
LCL-1798	NCI-H322	NCI-H322	95111734
LCL-1799	SW 1573	SW 1573	CRL-2170
LCL-1800	OCUG-1	OCUG-1	JCRB0191
LCL-1801	KG-1-C	KG-1-C	JCRB0236
LCL-1802	SK-NEP-1	SK-NEP-1	HTB-48
LCL-1803	RKN	RKN	JCRB0176
LCL-1804	SKG-IIIa	SKG-IIIa	JCRB0232
LCL-1805	RMG-I	RMG-I	JCRB0172
LCL-1806	ES-2	ES-2	CRL-1978
LCL-1807	DMS 273	DMS 273	95062830
LCL-1808	DMS 53	DMS 53	CRL-2062
LCL-1809	Lu-135	Lu-135	JCRB0170
LCL-1810	NCI-H1048	NCI-H1048	CRL-5853
LCL-1811	NCI-H1688	NCI-H1688	CCL-257
LCL-1812	NCI-H1876	NCI-H1876	CRL-5902
LCL-1813	NCI-H196	NCI-H196	CRL-5823
LCL-1814	NCI-H2029	NCI-H2029	CRL-5913
LCL-1815	NCI-H2195	NCI-H2195	CRL-5931
LCL-1816	NCI-H2196	NCI-H2196	CRL-5932
LCL-1817	NCI-H2198	NCI-H2198	CRL-5933
LCL-1818	NCI-H2286	NCI-H2286	CRL-5938
LCL-1819	NCI-H841	NCI-H841	CRL-5845
LCL-1820	RERF-LC-MA	RERF-LC-MA	JCRB0812
LCL-1821	SBC-5	SBC-5	JCRB0819
LCL-1822	SCLC-21H	SCLC-21H	ACC 372
LCL-1823	SHP-77	SHP-77	CRL-2195
LCL-1824	SW 1271	SW 1271	CRL-2177
LCL-1825	COR-L279	COR-L279	96020724
LCL-1826	COR-L51	COR-L51	92031916; COSMIC ID:910555
LCL-1827	COR-L88	COR-L88	92031917
LCL-1828	COR-L95	COR-L95	96020733
LCL-1829	CPC-N	CPC-N	ACC 306
LCL-1830	DMS 114	DMS 114	CRL-2066
LCL-1831	DMS 153	DMS 153	CRL-2064
LCL-1832	DMS 79	DMS 79	CRL-2049
LCL-1833	HCC-33	HCC-33	ACC 487
LCL-1834	Lu-134-B	Lu-134-B	JCRB0169
LCL-1835	MS-1-L	MS-1-L	JCRB1081
LCL-1836	NCI-H1092	NCI-H1092	CRL-5855
LCL-1837	NCI-H1417	NCI-H1417	CRL-5869
LCL-1838	NCI-H1436	NCI-H1436	CRL-5871
LCL-1839	NCI-H1522	NCI-H1522	CRL-5874
LCL-1840	NCI-H1618	NCI-H1618	CRL-5879
LCL-1841	NCI-H1694	NCI-H1694	CRL-5888
LCL-1842	NCI-H1836	NCI-H1836	CRL-5898
LCL-1843	NCI-H187	NCI-H187	CRL-5804
LCL-1844	NCI-H1882	NCI-H1882	CRL-5903
LCL-1845	NCI-H1963	NCI-H1963	CRL-5982
LCL-1846	NCI-H2081	NCI-H2081	CRL-5920
LCL-1847	NCI-H209	NCI-H209	HTB-172
LCL-1848	NCI-H2106	NCI-H2106	CRL-5923
LCL-1849	NCI-H211	NCI-H211	CRL-5824
LCL-1850	NCI-H2141	NCI-H2141	CRL-5927
LCL-1851	NCI-H2171	NCI-H2171	CRL-5929
LCL-1852	NCI-H220	NCI-H220	CRL-5825
LCL-1853	NCI-H2227	NCI-H2227	CRL-5934
LCL-1854	NCI-H345	NCI-H345	HTB-180
LCL-1855	NCI-H446	NCI-H446	HTB-171
LCL-1856	NCI-H510A	NCI-H510A	HTB-184
LCL-1857	NCI-H524	NCI-H524	CRL-5831
LCL-1858	NCI-H526	NCI-H526	CRL-5811
LCL-1859	NCI-H69	NCI-H69	HTB-119
LCL-1860	NCI-H719	NCI-H719	CRL-5837
LCL-1861	NCI-H748	NCI-H748	CRL-5841
LCL-1862	NCI-H82	NCI-H82	HTB-175
LCL-1863	NCI-H847	NCI-H847	CRL-5846
LCL-1864	NCI-H889	NCI-H889	CRL-5817
LCL-1865	SBC-1	SBC-1	JCRB0816
LCL-1866	SBC-2	SBC-2	JCRB0817
LCL-1867	COLO-668	COLO-668	COSMIC ID:910692
LCL-1868	IST-SL1	IST-SL1	COSMIC ID:753564
LCL-1869	IST-SL2	IST-SL2	COSMIC ID:753565
LCL-1870	LB647-SCLC	LB647-SCLC	COSMIC ID:753582
LCL-1871	LU-134-A	LU-134-A	COSMIC ID:753588
LCL-1872	LU-139	LU-139	COSMIC ID:713878
LCL-1873	LU-165	LU-165	COSMIC ID:753589
LCL-1874	NCI-H64	NCI-H64	COSMIC ID:688026
LCL-1875	H69V	H69V	91091803
LCL-1876	KHM-3S	KHM-3S	JCRB0138
LCL-1877	Lu-134-A-H	Lu-134-A-H	JCRB0235
LCL-1878	STC 1	STC 1	JCRB1053
LCL-1879	SBC-3	SBC-3	JCRB0818
LCL-1880	SW982	SW982	COSMIC ID:909759; ATCC HTB-93
LCL-1881	RPMI 2650	RPMI 2650	CCL-30
LCL-1882	HGC-27	HGC-27	94042256
LCL-1883	Hs 746T	Hs 746T	HTB-135
LCL-1884	IM-95	IM-95	JCRB1075.0
LCL-1885	MKN7	MKN7	JCRB1025
LCL-1886	NCI-N87	NCI-N87	CRL-5822
LCL-1887	NUGC-3	NUGC-3	JCRB0822
LCL-1888	SNU-1	SNU-1	CRL-5971
LCL-1889	SNU-16	SNU-16	CRL-5974
LCL-1890	SNU-5	SNU-5	CRL-5973
LCL-1891	GCIY	GCIY	COSMIC ID:906869; Riken RCB0555
LCL-1892	TGBC11TKB	TGBC11TKB	COSMIC ID:909770; Riken RCB1148
LCL-1893	AGS	AGS	CRL-1739
LCL-1894	FU97	FU97	JCRB1074
LCL-1895	GT3TKB	GT3TKB	COSMIC ID:907041
LCL-1896	RF-48	RF-48	COSMIC ID:909697
LCL-1897	ECC10	ECC10	COSMIC ID:906848; Riken RCB0983
LCL-1898	ECC12	ECC12	COSMIC ID:906849
LCL-1899	NUGC-2	NUGC-2	JCRB0821
LCL-1900	NEC8	NEC8	JCRB0250
LCL-1901	NTERA-S-cl-D1	NTERA-S-cl-D1	COSMIC ID:908454
LCL-1902	Tera-1	Tera-1	HTB-105
LCL-1903	NCC-IT-A3	NCC-IT-A3	JCRB1005
LCL-1904	LU65	LU65	JCRB0079
LCL-1905	LU65A	LU65A	JCRB0054
LCL-1906	LU65B	LU65B	JCRB0055
LCL-1907	LU65C	LU65C	JCRB0056
LCL-1908	LU99A	LU99A	JCRB0044
LCL-1909	LU99B	LU99B	JCRB0057
LCL-1910	LU99C	LU99C	JCRB0058
LCL-1911	NCI-H441	NCI-H441	HTB-174
LCL-1912	NCI-H1404	NCI-H1404	CRL-5819
LCL-1913	YT	YT	ACC 434
LCL-1914	CCRF-HSB-2	CCRF-HSB-2	CCL-120.1
LCL-1915	VAL	VAL	ACC 586
LCL-1916	MDA-MB-157	MDA-MB-157	HTB-24
LCL-1917	MKN1	MKN1	JCRB0252
LCL-1918	SU-DHL-1	SU-DHL-1	ACC 356
LCL-1919	SUP-M2	SUP-M2	ACC 509
LCL-1920	TOV-112D	TOV-112D	CRL-11731
LCL-1921	BFTC-909	BFTC-909	ACC 367
LCL-1922	MKN28	MKN28	JCRB0253
LCL-1923	JHH-6	JHH-6	JCRB1030
LCL-1924	Hep 3B2.1-7	Hep 3B2.1-7	HB-8064
LCL-1925	Hep G2	Hep G2	HB-8065
LCL-1926	Huh7	Huh7	JCRB0403
LCL-1927	C3A	C3A	CRL-10741
LCL-1928	JHH-1	JHH-1	JCRB1062
LCL-1929	JHH-2	JHH-2	JCRB1028
LCL-1930	JHH-4	JHH-4	JCRB0435
LCL-1931	JHH-7	JHH-7	JCRB1031
LCL-1932	SNU-182	SNU-182	CRL-2235
LCL-1933	SNU-387	SNU-387	CRL-2237
LCL-1934	SNU-398	SNU-398	CRL-2233
LCL-1935	SNU-423	SNU-423	CRL-2238
LCL-1936	SNU-449	SNU-449	CRL-2234
LCL-1937	SNU-475	SNU-475	CRL-2236
LCL-1938	HLF	HLF	JCRB0405
LCL-1939	HLE	HLE	JCRB0404
LCL-1940	huH-1	huH-1	JCRB0199
LCL-1941	SK-HEP-1	SK-HEP-1	HTB-52
LCL-1942	PLC/PRF/5	PLC/PRF/5	85061113
LCL-1943	639-V	639-V	ACC 413
LCL-1944	SC-1	SC-1	CRL-8756
LCL-1945	VA-ES-BJ	VA-ES-BJ	COSMIC ID:688121
LCL-1946	MC116	MC116	CRL-1649
LCL-1947	JM1	JM1	CRL-10423
LCL-1948	BC-3	BC-3	CRL-2277
LCL-1949	HT	HT	CRL-2260
LCL-1950	RC-K8	RC-K8	ACC 561
LCL-1951	Sci-1	Sci-1	96090513
LCL-1952	SLVL	SLVL	JCRB0159
LCL-1953	TK	TK	JCRB0157
LCL-1954	WSU-DLCL2	WSU-DLCL2	ACC 575
LCL-1955	WSU-NHL	WSU-NHL	ACC 58
LCL-1956	BC-1	BC-1	CRL-2230
LCL-1957	BC-2	BC-2	CRL-2231
LCL-1958	IM-9	IM-9	CCL-159
LCL-1959	JSC-1	JSC-1	CRL-2769
LCL-1960	HCC1806	HCC1806	CRL-2335
LCL-1961	MDA-MB-330	MDA-MB-330	HTB-127
LCL-1962	TGW	TGW	JCRB0618
LCL-1963	BE(2)-C	BE(2)-C	CRL-2268
LCL-1964	CHP-212	CHP-212	CRL-2273
LCL-1965	IMR-32	IMR-32	CCL-127
LCL-1966	KELLY	KELLY	ACC 355
LCL-1967	MC-IXC	MC-IXC	CRL-2270
LCL-1968	SCCH-26	SCCH-26	JCRB0106
LCL-1969	SK-N-AS	SK-N-AS	CRL-2137
LCL-1970	SK-N-DZ	SK-N-DZ	CRL-2149
LCL-1971	SK-N-SH	SK-N-SH	HTB-11
LCL-1972	BE(2)-M17	BE(2)-M17	CRL-2267
LCL-1973	CHP-126	CHP-126	ACC 304
LCL-1974	GOTO	GOTO	JCRB0612
LCL-1975	MHH-NB-11	MHH-NB-11	ACC 157
LCL-1976	NB(TU)1-10	NB(TU)1-10	JCRB0154
LCL-1977	NB-1	NB-1	JCRB0621
LCL-1978	NH-12	NH-12	JCRB0833
LCL-1979	SIMA	SIMA	ACC 164
LCL-1980	SK-N-BE(2)	SK-N-BE(2)	95011815
LCL-1981	SK-N-FI	SK-N-FI	CRL-2142
LCL-1982	ACN	ACN	COSMIC ID:906803
LCL-1983	GI-ME-N	GI-ME-N	COSMIC ID:906872
LCL-1984	IMR-5	IMR-5	COSMIC ID:907170
LCL-1985	KP-N-YN	KP-N-YN	COSMIC ID:907314; JCRB IFO50431
LCL-1986	KP-N-YS	KP-N-YS	COSMIC ID:946363
LCL-1987	LAN-5	LAN-5	COSMIC ID:1161992; DSMZ ACC 673
LCL-1988	LAN-6	LAN-6	COSMIC ID:949170
LCL-1989	NB10	NB10	COSMIC ID:949171
LCL-1990	NB12	NB12	COSMIC ID:949172
LCL-1991	NB13	NB13	COSMIC ID:949177
LCL-1992	NB14	NB14	COSMIC ID:949178
LCL-1993	NB16	NB16	COSMIC ID:910929; Riken RCB0478
LCL-1994	NB17	NB17	COSMIC ID:949175
LCL-1995	NB5	NB5	COSMIC ID:949176
LCL-1996	NB6	NB6	COSMIC ID:949173
LCL-1997	NB7	NB7	COSMIC ID:949174
LCL-1998	NBsusSR	NBsusSR	COSMIC ID:925342; Riken RCB0803
LCL-1999	NB69	NB69	99072802
LCL-2000	SH-SY5Y	SH-SY5Y	CRL-2266
LCL-2001	NUGC-4	NUGC-4	JCRB0834
LCL-2002	OCUM-1	OCUM-1	JCRB0192
LCL-2003	KATO III	KATO III	HTB-103
LCL-2004	621-101	621-101	not available
LCL-2005	HuT 78	HuT 78	TIB-161
LCL-2006	Hs 445	Hs 445	HTB-146
LCL-2007	HDLM-2	HDLM-2	ACC 17
LCL-2008	HD-MY-Z	HD-MY-Z	ACC 346
LCL-2009	KM-H2	KM-H2	ACC 8
LCL-2010	L-1236	L-1236	ACC 530
LCL-2011	L-428	L-428	ACC 197
LCL-2012	L-540	L-540	ACC 72
LCL-2013	RPMI 6666	RPMI 6666	CCL-113
LCL-2014	SUP-HD1	SUP-HD1	ACC 574
LCL-2015	2B8	2B8	CRL-12569
LCL-2016	BL-70	BL-70	ACC 233
LCL-2017	CA46	CA46	CRL-1648
LCL-2018	Daudi	Daudi	CCL-213
